Week,Day,Date,Results,Entering Wins,Rec,Home,Opp,PF,PA,OTotYd,OPassY,ORushY,TO_lost,DTotYd,DPassY,DRushY,TO_won,week_after_bye
1,Sun,13-Sep,W,,Jan-00,@,Detroit Lions,27,23,363,214,149,,426,288,138,1,
2,Sun,20-Sep,W,,Feb-00,,New York Giants,17,13,304,169,135,2,295,220,75,2,
3,Sun,27-Sep,W,,Mar-00,@,Atlanta Falcons,30,26,437,307,130,2,371,227,144,1,
4,Sun,4-Oct,L,,1-Mar,,Indianapolis Colts,11,19,269,241,28,1,289,186,103,,
5,Thu,8-Oct,,,,,Tampa Bay Buccaneers,,,,,,,,,,,
6,Sun,18-Oct,,,,@,Carolina Panthers,,,,,,,,,,,
7,Mon,26-Oct,,,,@,Los Angeles Rams,,,,,,,,,,,
8,Sun,1-Nov,,,,,New Orleans Saints,,,,,,,,,,,
9,Sun,8-Nov,,,,@,Tennessee Titans,,,,,,,,,,,
10,Mon,16-Nov,,,,,Minnesota Vikings,,,,,,,,,,,
11,,,,,,,Bye Week,,,,,,,,,,,
12,Sun,29-Nov,,,,@,Green Bay Packers,,,,,,,,,,,
13,Sun,6-Dec,,,,,Detroit Lions,,,,,,,,,,,
14,Sun,13-Dec,,,,,Houston Texans,,,,,,,,,,,
15,Sun,20-Dec,,,,@,Minnesota Vikings,,,,,,,,,,,
16,Sun,27-Dec,,,,@,Jacksonville Jaguars,,,,,,,,,,,
17,Sun,3-Jan,,,,,Green Bay Packers,,,,,,,,,,,
