Week,Day,Date,Results,Entering Wins,Rec,Home,Opp,PF,PA,OTotYd,OPassY,ORushY,TO_lost,DTotYd,DPassY,DRushY,TO_won,week_after_bye
1,Sun,13-Sep,L,,0-1,,Los Angeles Chargers,13,16,295,173,122,2,362,207,155,,
2,Thu,17-Sep,L,,0-2,@,Cleveland Browns,30,35,353,285,68,1,434,219,215,1,
3,Sun,27-Sep,T,OT,0-2-1,@,Philadelphia Eagles,23,23,304,256,48,,381,206,175,2,
4,Sun,4-Oct,W,,1/2/2001,,Jacksonville Jaguars,33,25,505,300,205,1,429,340,89,1,
5,Sun,11-Oct,,,,@,Baltimore Ravens,,,,,,,,,,,
6,Sun,18-Oct,,,,@,Indianapolis Colts,,,,,,,,,,,
7,Sun,25-Oct,,,,,Cleveland Browns,,,,,,,,,,,
8,Sun,1-Nov,,,,,Tennessee Titans,,,,,,,,,,,
9,,,,,,,Bye Week,,,,,,,,,,,
10,Sun,15-Nov,,,,@,Pittsburgh Steelers,,,,,,,,,,,
11,Sun,22-Nov,,,,@,Washington Football Team,,,,,,,,,,,
12,Sun,29-Nov,,,,,New York Giants,,,,,,,,,,,
13,Sun,6-Dec,,,,@,Miami Dolphins,,,,,,,,,,,
14,Sun,13-Dec,,,,,Dallas Cowboys,,,,,,,,,,,
15,Mon,21-Dec,,,,,Pittsburgh Steelers,,,,,,,,,,,
16,Sun,27-Dec,,,,@,Houston Texans,,,,,,,,,,,
17,Sun,3-Jan,,,,,Baltimore Ravens,,,,,,,,,,,
