Week,Day,Date,Results,Entering Wins,Rec,Home,Opp,PF,PA,OTotYd,OPassY,ORushY,TO_lost,DTotYd,DPassY,DRushY,TO_won,week_after_bye
1,Sun,13-Sep,W,,Jan-00,,New York Jets,27,17,404,306,98,2,254,202,52,2,
2,Sun,20-Sep,W,,Feb-00,@,Miami Dolphins,31,28,523,411,112,1,410,311,99,,
3,Sun,27-Sep,W,,Mar-00,,Los Angeles Rams,35,32,375,274,101,2,478,311,167,2,
4,Sun,4-Oct,W,,Apr-00,@,Las Vegas Raiders,30,23,336,274,62,,383,297,86,2,
5,Sun,11-Oct,,,,@,Tennessee Titans,,,,,,,,,,,
6,Thu,15-Oct,,,,,Kansas City Chiefs,,,,,,,,,,,
7,Sun,25-Oct,,,,@,New York Jets,,,,,,,,,,,
8,Sun,1-Nov,,,,,New England Patriots,,,,,,,,,,,
9,Sun,8-Nov,,,,,Seattle Seahawks,,,,,,,,,,,
10,Sun,15-Nov,,,,@,Arizona Cardinals,,,,,,,,,,,
11,,,,,,,Bye Week,,,,,,,,,,,
12,Sun,29-Nov,,,,,Los Angeles Chargers,,,,,,,,,,,
13,Mon,7-Dec,,,,@,San Francisco 49ers,,,,,,,,,,,
14,Sun,13-Dec,,,,,Pittsburgh Steelers,,,,,,,,,,,
15,Sun,20-Dec,,,,@,Denver Broncos,,,,,,,,,,,
16,Mon,28-Dec,,,,@,New England Patriots,,,,,,,,,,,
17,Sun,3-Jan,,,,,Miami Dolphins,,,,,,,,,,,
