Week,Day,Date,Results,Entering Wins,Rec,Home,Opp,PF,PA,OTotYd,OPassY,ORushY,TO_lost,DTotYd,DPassY,DRushY,TO_won,week_after_bye
1,Mon,14-Sep,L,,0-1,,Tennessee Titans,14,16,323,216,107,1,377,247,130,,
2,Sun,20-Sep,L,,0-2,@,Pittsburgh Steelers,21,26,319,215,104,2,410,301,109,2,
3,Sun,27-Sep,L,,0-3,,Tampa Bay Buccaneers,10,28,226,184,42,2,353,285,68,,
4,Thu,1-Oct,W,,3-Jan,@,New York Jets,37,28,359,242,117,3,321,192,129,,
5,Sun,11-Oct,,,,@,New England Patriots,,,,,,,,,,,
6,Sun,18-Oct,,,,,Miami Dolphins,,,,,,,,,,,
7,Sun,25-Oct,,,,,Kansas City Chiefs,,,,,,,,,,,
8,,,,,,,Bye Week,,,,,,,,,,,
9,Sun,8-Nov,,,,@,Atlanta Falcons,,,,,,,,,,,
10,Sun,15-Nov,,,,@,Las Vegas Raiders,,,,,,,,,,,
11,Sun,22-Nov,,,,,Los Angeles Chargers,,,,,,,,,,,
12,Sun,29-Nov,,,,,New Orleans Saints,,,,,,,,,,,
13,Sun,6-Dec,,,,@,Kansas City Chiefs,,,,,,,,,,,
14,Sun,13-Dec,,,,@,Carolina Panthers,,,,,,,,,,,
15,Sun,20-Dec,,,,,Buffalo Bills,,,,,,,,,,,
16,Sun,27-Dec,,,,@,Los Angeles Chargers,,,,,,,,,,,
17,Sun,3-Jan,,,,,Las Vegas Raiders,,,,,,,,,,,
