Week,Day,Date,Results,Entering Wins,Rec,Home,Opp,PF,PA,OTotYd,OPassY,ORushY,TO_lost,DTotYd,DPassY,DRushY,TO_won,week_after_bye
1,Sun,13-Sep,L,,0-1,@,Baltimore Ravens,6,38,306,168,138,3,381,270,111,1,
2,Thu,17-Sep,W,,1-Jan,,Cincinnati Bengals,35,30,434,219,215,1,353,285,68,1,
3,Sun,27-Sep,W,,1-Feb,,Washington Football Team,34,20,300,142,158,,309,206,103,5,
4,Sun,4-Oct,W,,1-Mar,@,Dallas Cowboys,49,38,508,201,307,,566,481,85,3,
5,Sun,11-Oct,,,,,Indianapolis Colts,,,,,,,,,,,
6,Sun,18-Oct,,,,@,Pittsburgh Steelers,,,,,,,,,,,
7,Sun,25-Oct,,,,@,Cincinnati Bengals,,,,,,,,,,,
8,Sun,1-Nov,,,,,Las Vegas Raiders,,,,,,,,,,,
9,,,,,,,Bye Week,,,,,,,,,,,
10,Sun,15-Nov,,,,,Houston Texans,,,,,,,,,,,
11,Sun,22-Nov,,,,,Philadelphia Eagles,,,,,,,,,,,
12,Sun,29-Nov,,,,@,Jacksonville Jaguars,,,,,,,,,,,
13,Sun,6-Dec,,,,@,Tennessee Titans,,,,,,,,,,,
14,Mon,14-Dec,,,,,Baltimore Ravens,,,,,,,,,,,
15,Sun,20-Dec,,,,@,New York Giants,,,,,,,,,,,
16,Sun,27-Dec,,,,@,New York Jets,,,,,,,,,,,
17,Sun,3-Jan,,,,,Pittsburgh Steelers,,,,,,,,,,,
