Week,Day,Date,Results,Entering Wins,Rec,Home,Opp,PF,PA,OTotYd,OPassY,ORushY,TO_lost,DTotYd,DPassY,DRushY,TO_won,week_after_bye
1,Sun,13-Sep,L,,0-1,@,New Orleans Saints,23,34,310,224,86,3,271,189,82,,
2,Sun,20-Sep,W,,1-Jan,,Carolina Panthers,31,17,339,217,122,2,427,340,87,4,
3,Sun,27-Sep,W,,1-Feb,@,Denver Broncos,28,10,353,285,68,,226,184,42,2,
4,Sun,4-Oct,W,,1-Mar,,Los Angeles Chargers,38,31,484,369,115,1,324,278,46,2,
5,Thu,8-Oct,,,,@,Chicago Bears,,,,,,,,,,,
6,Sun,18-Oct,,,,,Green Bay Packers,,,,,,,,,,,
7,Sun,25-Oct,,,,@,Las Vegas Raiders,,,,,,,,,,,
8,Mon,2-Nov,,,,@,New York Giants,,,,,,,,,,,
9,Sun,8-Nov,,,,,New Orleans Saints,,,,,,,,,,,
10,Sun,15-Nov,,,,@,Carolina Panthers,,,,,,,,,,,
11,Mon,23-Nov,,,,,Los Angeles Rams,,,,,,,,,,,
12,Sun,29-Nov,,,,,Kansas City Chiefs,,,,,,,,,,,
13,,,,,,,Bye Week,,,,,,,,,,,
14,Sun,13-Dec,,,,,Minnesota Vikings,,,,,,,,,,,
15,Sun,20-Dec,,,,@,Atlanta Falcons,,,,,,,,,,,
16,Sun,27-Dec,,,,@,Detroit Lions,,,,,,,,,,,
17,Sun,3-Jan,,,,,Atlanta Falcons,,,,,,,,,,,
