Week,Day,Date,Results,Entering Wins,Rec,Home,Opp,PF,PA,OTotYd,OPassY,ORushY,TO_lost,DTotYd,DPassY,DRushY,TO_won,week_after_bye
1,Sun,13-Sep,W,,Jan-00,@,San Francisco 49ers,24,20,404,224,180,1,366,243,123,,
2,Sun,20-Sep,W,,Feb-00,,Washington Football Team,30,15,438,278,160,1,316,199,117,2,
3,Sun,27-Sep,L,,1-Feb,,Detroit Lions,23,26,377,268,109,3,322,232,90,,
4,Sun,4-Oct,L,,2-Feb,@,Carolina Panthers,21,31,262,133,129,1,444,276,168,1,
5,Sun,11-Oct,,,,@,New York Jets,,,,,,,,,,,
6,Mon,19-Oct,,,,@,Dallas Cowboys,,,,,,,,,,,
7,Sun,25-Oct,,,,,Seattle Seahawks,,,,,,,,,,,
8,,,,,,,Bye Week,,,,,,,,,,,
9,Sun,8-Nov,,,,,Miami Dolphins,,,,,,,,,,,
10,Sun,15-Nov,,,,,Buffalo Bills,,,,,,,,,,,
11,Thu,19-Nov,,,,@,Seattle Seahawks,,,,,,,,,,,
12,Sun,29-Nov,,,,@,New England Patriots,,,,,,,,,,,
13,Sun,6-Dec,,,,,Los Angeles Rams,,,,,,,,,,,
14,Sun,13-Dec,,,,@,New York Giants,,,,,,,,,,,
15,Sun,20-Dec,,,,,Philadelphia Eagles,,,,,,,,,,,
16,Sun,27-Dec,,,,,San Francisco 49ers,,,,,,,,,,,
17,Sun,3-Jan,,,,@,Los Angeles Rams,,,,,,,,,,,
