Week,Day,Date,Results,Entering Wins,Rec,Home,Opp,PF,PA,OTotYd,OPassY,ORushY,TO_lost,DTotYd,DPassY,DRushY,TO_won,week_after_bye
1,Sun,13-Sep,W,,Jan-00,@,Cincinnati Bengals,16,13,362,207,155,,295,173,122,2,
2,Sun,20-Sep,L,OT,1-Jan,,Kansas City Chiefs,20,23,479,296,183,1,414,289,125,,
3,Sun,27-Sep,L,,2-Jan,,Carolina Panthers,16,21,436,319,117,4,302,221,81,,
4,Sun,4-Oct,L,,3-Jan,@,Tampa Bay Buccaneers,31,38,324,278,46,2,484,369,115,1,
5,Mon,12-Oct,,,,@,New Orleans Saints,,,,,,,,,,,
6,Sun,18-Oct,,,,,New York Jets,,,,,,,,,,,
7,Sun,25-Oct,,,,@,Miami Dolphins,,,,,,,,,,,
8,Sun,1-Nov,,,,,Jacksonville Jaguars,,,,,,,,,,,
9,Sun,8-Nov,,,,,Las Vegas Raiders,,,,,,,,,,,
10,,,,,,,Bye Week,,,,,,,,,,,
11,Sun,22-Nov,,,,@,Denver Broncos,,,,,,,,,,,
12,Sun,29-Nov,,,,@,Buffalo Bills,,,,,,,,,,,
13,Sun,6-Dec,,,,,New England Patriots,,,,,,,,,,,
14,Sun,13-Dec,,,,,Atlanta Falcons,,,,,,,,,,,
15,Thu,17-Dec,,,,@,Las Vegas Raiders,,,,,,,,,,,
16,Sun,27-Dec,,,,,Denver Broncos,,,,,,,,,,,
17,Sun,3-Jan,,,,@,Kansas City Chiefs,,,,,,,,,,,
