Week,Day,Date,Results,Entering Wins,Rec,Home,Opp,PF,PA,OTotYd,OPassY,ORushY,TO_lost,DTotYd,DPassY,DRushY,TO_won,week_after_bye
1,Thu,10-Sep,W,,Jan-00,,Houston Texans,34,20,369,203,166,,360,242,118,1,
2,Sun,20-Sep,W,OT,Feb-00,@,Los Angeles Chargers,23,20,414,289,125,,479,296,183,1,
3,Mon,28-Sep,W,,Mar-00,@,Baltimore Ravens,34,20,517,385,132,1,228,70,158,1,
4,Mon,5-Oct,W,,Apr-00,,New England Patriots,26,10,323,229,94,1,357,172,185,4,
5,Sun,11-Oct,,,,,Las Vegas Raiders,,,,,,,,,,,
6,Thu,15-Oct,,,,@,Buffalo Bills,,,,,,,,,,,
7,Sun,25-Oct,,,,@,Denver Broncos,,,,,,,,,,,
8,Sun,1-Nov,,,,,New York Jets,,,,,,,,,,,
9,Sun,8-Nov,,,,,Carolina Panthers,,,,,,,,,,,
10,,,,,,,Bye Week,,,,,,,,,,,
11,Sun,22-Nov,,,,@,Las Vegas Raiders,,,,,,,,,,,
12,Sun,29-Nov,,,,@,Tampa Bay Buccaneers,,,,,,,,,,,
13,Sun,6-Dec,,,,,Denver Broncos,,,,,,,,,,,
14,Sun,13-Dec,,,,@,Miami Dolphins,,,,,,,,,,,
15,Sun,20-Dec,,,,@,New Orleans Saints,,,,,,,,,,,
16,Sun,27-Dec,,,,,Atlanta Falcons,,,,,,,,,,,
17,Sun,3-Jan,,,,,Los Angeles Chargers,,,,,,,,,,,
