Week,Day,Date,Results,Entering Wins,Rec,Home,Opp,PF,PA,OTotYd,OPassY,ORushY,TO_lost,DTotYd,DPassY,DRushY,TO_won,week_after_bye
1,Sun,13-Sep,L,,0-1,@,Jacksonville Jaguars,20,27,445,357,88,2,241,150,91,,
2,Sun,20-Sep,W,,1-Jan,,Minnesota Vikings,28,11,354,203,151,1,175,95,80,3,
3,Sun,27-Sep,W,,1-Feb,,New York Jets,36,7,353,234,119,,260,151,109,3,
4,Sun,4-Oct,W,,1-Mar,@,Chicago Bears,19,11,289,186,103,,269,241,28,1,
5,Sun,11-Oct,,,,@,Cleveland Browns,,,,,,,,,,,
6,Sun,18-Oct,,,,,Cincinnati Bengals,,,,,,,,,,,
7,,,,,,,Bye Week,,,,,,,,,,,
8,Sun,1-Nov,,,,@,Detroit Lions,,,,,,,,,,,
9,Sun,8-Nov,,,,,Baltimore Ravens,,,,,,,,,,,
10,Thu,12-Nov,,,,@,Tennessee Titans,,,,,,,,,,,
11,Sun,22-Nov,,,,,Green Bay Packers,,,,,,,,,,,
12,Sun,29-Nov,,,,,Tennessee Titans,,,,,,,,,,,
13,Sun,6-Dec,,,,@,Houston Texans,,,,,,,,,,,
14,Sun,13-Dec,,,,@,Las Vegas Raiders,,,,,,,,,,,
15,Sun,20-Dec,,,,,Houston Texans,,,,,,,,,,,
16,Sun,27-Dec,,,,@,Pittsburgh Steelers,,,,,,,,,,,
17,Sun,3-Jan,,,,,Jacksonville Jaguars,,,,,,,,,,,
