Week,Day,Date,Results,Entering Wins,Rec,Home,Opp,PF,PA,OTotYd,OPassY,ORushY,TO_lost,DTotYd,DPassY,DRushY,TO_won,week_after_bye
1,Sun,13-Sep,L,,0-1,@,Los Angeles Rams,17,20,380,244,136,,422,269,153,1,
2,Sun,20-Sep,W,,1-Jan,,Atlanta Falcons,40,39,570,445,125,3,380,267,113,,
3,Sun,27-Sep,L,,2-Jan,@,Seattle Seahawks,31,38,522,461,61,3,412,295,117,1,
4,Sun,4-Oct,L,,3-Jan,,Cleveland Browns,38,49,566,481,85,3,508,201,307,,
5,Sun,11-Oct,,,,,New York Giants,,,,,,,,,,,
6,Mon,19-Oct,,,,,Arizona Cardinals,,,,,,,,,,,
7,Sun,25-Oct,,,,@,Washington Football Team,,,,,,,,,,,
8,Sun,1-Nov,,,,@,Philadelphia Eagles,,,,,,,,,,,
9,Sun,8-Nov,,,,,Pittsburgh Steelers,,,,,,,,,,,
10,,,,,,,Bye Week,,,,,,,,,,,
11,Sun,22-Nov,,,,@,Minnesota Vikings,,,,,,,,,,,
12,Thu,26-Nov,,,,,Washington Football Team,,,,,,,,,,,
13,Thu,3-Dec,,,,@,Baltimore Ravens,,,,,,,,,,,
14,Sun,13-Dec,,,,@,Cincinnati Bengals,,,,,,,,,,,
15,Sun,20-Dec,,,,,San Francisco 49ers,,,,,,,,,,,
16,Sun,27-Dec,,,,,Philadelphia Eagles,,,,,,,,,,,
17,Sun,3-Jan,,,,@,New York Giants,,,,,,,,,,,
