Week,Day,Date,Results,Entering Wins,Rec,Home,Opp,PF,PA,OTotYd,OPassY,ORushY,TO_lost,DTotYd,DPassY,DRushY,TO_won,week_after_bye
1,Sun,13-Sep,L,,0-1,@,New England Patriots,11,21,269,182,87,3,357,140,217,1,
2,Sun,20-Sep,L,,0-2,,Buffalo Bills,28,31,410,311,99,,523,411,112,1,
3,Thu,24-Sep,W,,2-Jan,@,Jacksonville Jaguars,31,13,294,156,138,,318,246,72,2,
4,Sun,4-Oct,L,,3-Jan,,Seattle Seahawks,23,31,415,312,103,2,441,343,98,1,
5,Sun,11-Oct,,,,@,San Francisco 49ers,,,,,,,,,,,
6,Sun,18-Oct,,,,@,Denver Broncos,,,,,,,,,,,
7,Sun,25-Oct,,,,,Los Angeles Chargers,,,,,,,,,,,
8,Sun,1-Nov,,,,,Los Angeles Rams,,,,,,,,,,,
9,Sun,8-Nov,,,,@,Arizona Cardinals,,,,,,,,,,,
10,Sun,15-Nov,,,,,New York Jets,,,,,,,,,,,
11,,,,,,,Bye Week,,,,,,,,,,,
12,Sun,29-Nov,,,,@,New York Jets,,,,,,,,,,,
13,Sun,6-Dec,,,,,Cincinnati Bengals,,,,,,,,,,,
14,Sun,13-Dec,,,,,Kansas City Chiefs,,,,,,,,,,,
15,Sun,20-Dec,,,,,New England Patriots,,,,,,,,,,,
16,Sun,27-Dec,,,,@,Las Vegas Raiders,,,,,,,,,,,
17,Sun,3-Jan,,,,@,Buffalo Bills,,,,,,,,,,,
