Week,Day,Date,Results,Entering Wins,Rec,Home,Opp,PF,PA,OTotYd,OPassY,ORushY,TO_lost,DTotYd,DPassY,DRushY,TO_won,week_after_bye
1,Sun,13-Sep,L,,0-1,@,Washington Football Team,17,27,265,208,57,3,239,159,80,,
2,Sun,20-Sep,L,,0-2,,Los Angeles Rams,19,37,363,242,121,3,449,258,191,1,
3,Sun,27-Sep,T,OT,0-2-1,,Cincinnati Bengals,23,23,381,206,175,2,304,256,48,,
4,Sun,4-Oct,W,,1/2/2001,@,San Francisco 49ers,25,20,267,174,93,1,417,301,116,3,
5,Sun,11-Oct,,,,@,Pittsburgh Steelers,,,,,,,,,,,
6,Sun,18-Oct,,,,,Baltimore Ravens,,,,,,,,,,,
7,Thu,22-Oct,,,,,New York Giants,,,,,,,,,,,
8,Sun,1-Nov,,,,,Dallas Cowboys,,,,,,,,,,,
9,,,,,,,Bye Week,,,,,,,,,,,
10,Sun,15-Nov,,,,@,New York Giants,,,,,,,,,,,
11,Sun,22-Nov,,,,@,Cleveland Browns,,,,,,,,,,,
12,Mon,30-Nov,,,,,Seattle Seahawks,,,,,,,,,,,
13,Sun,6-Dec,,,,@,Green Bay Packers,,,,,,,,,,,
14,Sun,13-Dec,,,,,New Orleans Saints,,,,,,,,,,,
15,Sun,20-Dec,,,,@,Arizona Cardinals,,,,,,,,,,,
16,Sun,27-Dec,,,,@,Dallas Cowboys,,,,,,,,,,,
17,Sun,3-Jan,,,,,Washington Football Team,,,,,,,,,,,
