Week,Day,Date,Results,Entering Wins,Rec,Home,Opp,PF,PA,OTotYd,OPassY,ORushY,TO_lost,DTotYd,DPassY,DRushY,TO_won,week_after_bye
1,Sun,13-Sep,L,,0-1,,Seattle Seahawks,25,38,506,434,72,2,383,299,84,,
2,Sun,20-Sep,L,,0-2,@,Dallas Cowboys,39,40,380,267,113,,570,445,125,3,
3,Sun,27-Sep,L,,0-3,,Chicago Bears,26,30,371,227,144,1,437,307,130,2,
4,Mon,5-Oct,L,,0-4,@,Green Bay Packers,16,30,327,249,78,,403,315,88,,
5,Sun,11-Oct,,,,,Carolina Panthers,,,,,,,,,,,
6,Sun,18-Oct,,,,@,Minnesota Vikings,,,,,,,,,,,
7,Sun,25-Oct,,,,,Detroit Lions,,,,,,,,,,,
8,Thu,29-Oct,,,,@,Carolina Panthers,,,,,,,,,,,
9,Sun,8-Nov,,,,,Denver Broncos,,,,,,,,,,,
10,,,,,,,Bye Week,,,,,,,,,,,
11,Sun,22-Nov,,,,@,New Orleans Saints,,,,,,,,,,,
12,Sun,29-Nov,,,,,Las Vegas Raiders,,,,,,,,,,,
13,Sun,6-Dec,,,,,New Orleans Saints,,,,,,,,,,,
14,Sun,13-Dec,,,,@,Los Angeles Chargers,,,,,,,,,,,
15,Sun,20-Dec,,,,,Tampa Bay Buccaneers,,,,,,,,,,,
16,Sun,27-Dec,,,,@,Kansas City Chiefs,,,,,,,,,,,
17,Sun,3-Jan,,,,@,Tampa Bay Buccaneers,,,,,,,,,,,
