Week,Day,Date,Results,Entering Wins,Rec,Home,Opp,PF,PA,OTotYd,OPassY,ORushY,TO_lost,DTotYd,DPassY,DRushY,TO_won,week_after_bye
1,Mon,14-Sep,L,,0-1,,Pittsburgh Steelers,16,26,291,262,29,2,349,208,141,1,
2,Sun,20-Sep,L,,0-2,@,Chicago Bears,13,17,295,220,75,2,304,169,135,2,
3,Sun,27-Sep,L,,0-3,,San Francisco 49ers,9,36,231,165,66,3,420,327,93,,
4,Sun,4-Oct,L,,0-4,@,Los Angeles Rams,9,17,295,159,136,1,240,182,58,1,
5,Sun,11-Oct,,,,@,Dallas Cowboys,,,,,,,,,,,
6,Sun,18-Oct,,,,,Washington Football Team,,,,,,,,,,,
7,Thu,22-Oct,,,,@,Philadelphia Eagles,,,,,,,,,,,
8,Mon,2-Nov,,,,,Tampa Bay Buccaneers,,,,,,,,,,,
9,Sun,8-Nov,,,,@,Washington Football Team,,,,,,,,,,,
10,Sun,15-Nov,,,,,Philadelphia Eagles,,,,,,,,,,,
11,,,,,,,Bye Week,,,,,,,,,,,
12,Sun,29-Nov,,,,@,Cincinnati Bengals,,,,,,,,,,,
13,Sun,6-Dec,,,,@,Seattle Seahawks,,,,,,,,,,,
14,Sun,13-Dec,,,,,Arizona Cardinals,,,,,,,,,,,
15,Sun,20-Dec,,,,,Cleveland Browns,,,,,,,,,,,
16,Sun,27-Dec,,,,@,Baltimore Ravens,,,,,,,,,,,
17,Sun,3-Jan,,,,,Dallas Cowboys,,,,,,,,,,,
