Week,Day,Date,Results,Entering Wins,Rec,Home,Opp,PF,PA,OTotYd,OPassY,ORushY,TO_lost,DTotYd,DPassY,DRushY,TO_won,week_after_bye
1,Sun,13-Sep,W,,Jan-00,,Indianapolis Colts,27,20,241,150,91,,445,357,88,2,
2,Sun,20-Sep,L,,1-Jan,@,Tennessee Titans,30,33,480,315,165,2,354,231,123,,
3,Thu,24-Sep,L,,2-Jan,,Miami Dolphins,13,31,318,246,72,2,294,156,138,,
4,Sun,4-Oct,L,,3-Jan,@,Cincinnati Bengals,25,33,429,340,89,1,505,300,205,1,
5,Sun,11-Oct,,,,@,Houston Texans,,,,,,,,,,,
6,Sun,18-Oct,,,,,Detroit Lions,,,,,,,,,,,
7,,,,,,,Bye Week,,,,,,,,,,,
8,Sun,1-Nov,,,,@,Los Angeles Chargers,,,,,,,,,,,
9,Sun,8-Nov,,,,,Houston Texans,,,,,,,,,,,
10,Sun,15-Nov,,,,@,Green Bay Packers,,,,,,,,,,,
11,Sun,22-Nov,,,,,Pittsburgh Steelers,,,,,,,,,,,
12,Sun,29-Nov,,,,,Cleveland Browns,,,,,,,,,,,
13,Sun,6-Dec,,,,@,Minnesota Vikings,,,,,,,,,,,
14,Sun,13-Dec,,,,,Tennessee Titans,,,,,,,,,,,
15,Sun,20-Dec,,,,@,Baltimore Ravens,,,,,,,,,,,
16,Sun,27-Dec,,,,,Chicago Bears,,,,,,,,,,,
17,Sun,3-Jan,,,,@,Indianapolis Colts,,,,,,,,,,,
