Week,Day,Date,Results,Entering Wins,Rec,Home,Opp,PF,PA,OTotYd,OPassY,ORushY,TO_lost,DTotYd,DPassY,DRushY,TO_won,week_after_bye
1,Sun,13-Sep,L,,0-1,@,Buffalo Bills,17,27,254,202,52,2,404,306,98,2,
2,Sun,20-Sep,L,,0-2,,San Francisco 49ers,13,31,277,173,104,,359,177,182,1,
3,Sun,27-Sep,L,,0-3,@,Indianapolis Colts,7,36,260,151,109,3,353,234,119,,
4,Thu,1-Oct,L,,0-4,,Denver Broncos,28,37,321,192,129,,359,242,117,3,
5,Sun,11-Oct,,,,,Arizona Cardinals,,,,,,,,,,,
6,Sun,18-Oct,,,,@,Los Angeles Chargers,,,,,,,,,,,
7,Sun,25-Oct,,,,,Buffalo Bills,,,,,,,,,,,
8,Sun,1-Nov,,,,@,Kansas City Chiefs,,,,,,,,,,,
9,Mon,9-Nov,,,,,New England Patriots,,,,,,,,,,,
10,Sun,15-Nov,,,,@,Miami Dolphins,,,,,,,,,,,
11,,,,,,,Bye Week,,,,,,,,,,,
12,Sun,29-Nov,,,,,Miami Dolphins,,,,,,,,,,,
13,Sun,6-Dec,,,,,Las Vegas Raiders,,,,,,,,,,,
14,Sun,13-Dec,,,,@,Seattle Seahawks,,,,,,,,,,,
15,Sun,20-Dec,,,,@,Los Angeles Rams,,,,,,,,,,,
16,Sun,27-Dec,,,,,Cleveland Browns,,,,,,,,,,,
17,Sun,3-Jan,,,,@,New England Patriots,,,,,,,,,,,
