Week,Day,Date,Results,Entering Wins,Rec,Home,Opp,PF,PA,OTotYd,OPassY,ORushY,TO_lost,DTotYd,DPassY,DRushY,TO_won,week_after_bye
1,Sun,13-Sep,L,,0-1,,Chicago Bears,23,27,426,288,138,1,363,214,149,,
2,Sun,20-Sep,L,,0-2,@,Green Bay Packers,21,42,307,218,89,1,488,229,259,,
3,Sun,27-Sep,W,,2-Jan,@,Arizona Cardinals,26,23,322,232,90,,377,268,109,3,
4,Sun,4-Oct,L,,3-Jan,,New Orleans Saints,29,35,281,191,90,1,392,228,164,1,
5,,,,,,,Bye Week,,,,,,,,,,,
6,Sun,18-Oct,,,,@,Jacksonville Jaguars,,,,,,,,,,,
7,Sun,25-Oct,,,,@,Atlanta Falcons,,,,,,,,,,,
8,Sun,1-Nov,,,,,Indianapolis Colts,,,,,,,,,,,
9,Sun,8-Nov,,,,@,Minnesota Vikings,,,,,,,,,,,
10,Sun,15-Nov,,,,,Washington Football Team,,,,,,,,,,,
11,Sun,22-Nov,,,,@,Carolina Panthers,,,,,,,,,,,
12,Thu,26-Nov,,,,,Houston Texans,,,,,,,,,,,
13,Sun,6-Dec,,,,@,Chicago Bears,,,,,,,,,,,
14,Sun,13-Dec,,,,,Green Bay Packers,,,,,,,,,,,
15,Sun,20-Dec,,,,@,Tennessee Titans,,,,,,,,,,,
16,Sun,27-Dec,,,,,Tampa Bay Buccaneers,,,,,,,,,,,
17,Sun,3-Jan,,,,,Minnesota Vikings,,,,,,,,,,,
