Week,Day,Date,Results,Entering Wins,Rec,Home,Opp,PF,PA,OTotYd,OPassY,ORushY,TO_lost,DTotYd,DPassY,DRushY,TO_won,week_after_bye
1,Sun,13-Sep,L,,0-1,,Arizona Cardinals,20,24,366,243,123,,404,224,180,1,
2,Sun,20-Sep,W,,1-Jan,@,New York Jets,31,13,359,177,182,1,277,173,104,,
3,Sun,27-Sep,W,,1-Feb,@,New York Giants,36,9,420,327,93,,231,165,66,3,
4,Sun,4-Oct,L,,2-Feb,,Philadelphia Eagles,20,25,417,301,116,3,267,174,93,1,
5,Sun,11-Oct,,,,,Miami Dolphins,,,,,,,,,,,
6,Sun,18-Oct,,,,,Los Angeles Rams,,,,,,,,,,,
7,Sun,25-Oct,,,,@,New England Patriots,,,,,,,,,,,
8,Sun,1-Nov,,,,@,Seattle Seahawks,,,,,,,,,,,
9,Thu,5-Nov,,,,,Green Bay Packers,,,,,,,,,,,
10,Sun,15-Nov,,,,@,New Orleans Saints,,,,,,,,,,,
11,,,,,,,Bye Week,,,,,,,,,,,
12,Sun,29-Nov,,,,@,Los Angeles Rams,,,,,,,,,,,
13,Mon,7-Dec,,,,,Buffalo Bills,,,,,,,,,,,
14,Sun,13-Dec,,,,,Washington Football Team,,,,,,,,,,,
15,Sun,20-Dec,,,,@,Dallas Cowboys,,,,,,,,,,,
16,Sun,27-Dec,,,,@,Arizona Cardinals,,,,,,,,,,,
17,Sun,3-Jan,,,,,Seattle Seahawks,,,,,,,,,,,
