Week,Day,Date,Results,Entering Wins,Rec,Home,Opp,PF,PA,OTotYd,OPassY,ORushY,TO_lost,DTotYd,DPassY,DRushY,TO_won,week_after_bye
1,Sun,13-Sep,W,,Jan-00,@,Minnesota Vikings,43,34,522,364,158,,382,248,134,1,
2,Sun,20-Sep,W,,Feb-00,,Detroit Lions,42,21,488,229,259,,307,218,89,1,
3,Sun,27-Sep,W,,Mar-00,@,New Orleans Saints,37,30,369,271,98,,397,275,122,1,
4,Mon,5-Oct,W,,Apr-00,,Atlanta Falcons,30,16,403,315,88,,327,249,78,,
5,,,,,,,Bye Week,,,,,,,,,,,
6,Sun,18-Oct,,,,@,Tampa Bay Buccaneers,,,,,,,,,,,
7,Sun,25-Oct,,,,@,Houston Texans,,,,,,,,,,,
8,Sun,1-Nov,,,,,Minnesota Vikings,,,,,,,,,,,
9,Thu,5-Nov,,,,@,San Francisco 49ers,,,,,,,,,,,
10,Sun,15-Nov,,,,,Jacksonville Jaguars,,,,,,,,,,,
11,Sun,22-Nov,,,,@,Indianapolis Colts,,,,,,,,,,,
12,Sun,29-Nov,,,,,Chicago Bears,,,,,,,,,,,
13,Sun,6-Dec,,,,,Philadelphia Eagles,,,,,,,,,,,
14,Sun,13-Dec,,,,@,Detroit Lions,,,,,,,,,,,
15,Sun,20-Dec,,,,,Carolina Panthers,,,,,,,,,,,
16,Sun,27-Dec,,,,,Tennessee Titans,,,,,,,,,,,
17,Sun,3-Jan,,,,@,Chicago Bears,,,,,,,,,,,
