Week,Day,Date,Results,Entering Wins,Rec,Home,Opp,PF,PA,OTotYd,OPassY,ORushY,TO_lost,DTotYd,DPassY,DRushY,TO_won,week_after_bye
1,Sun,13-Sep,L,,0-1,,Las Vegas Raiders,30,34,388,259,129,,372,239,133,,
2,Sun,20-Sep,L,,0-2,@,Tampa Bay Buccaneers,17,31,427,340,87,4,339,217,122,2,
3,Sun,27-Sep,W,,2-Jan,@,Los Angeles Chargers,21,16,302,221,81,,436,319,117,4,
4,Sun,4-Oct,W,,2-Feb,,Arizona Cardinals,31,21,444,276,168,1,262,133,129,1,
5,Sun,11-Oct,,,,@,Atlanta Falcons,,,,,,,,,,,
6,Sun,18-Oct,,,,,Chicago Bears,,,,,,,,,,,
7,Sun,25-Oct,,,,@,New Orleans Saints,,,,,,,,,,,
8,Thu,29-Oct,,,,,Atlanta Falcons,,,,,,,,,,,
9,Sun,8-Nov,,,,@,Kansas City Chiefs,,,,,,,,,,,
10,Sun,15-Nov,,,,,Tampa Bay Buccaneers,,,,,,,,,,,
11,Sun,22-Nov,,,,,Detroit Lions,,,,,,,,,,,
12,Sun,29-Nov,,,,@,Minnesota Vikings,,,,,,,,,,,
13,,,,,,,Bye Week,,,,,,,,,,,
14,Sun,13-Dec,,,,,Denver Broncos,,,,,,,,,,,
15,Sun,20-Dec,,,,@,Green Bay Packers,,,,,,,,,,,
16,Sun,27-Dec,,,,@,Washington Football Team,,,,,,,,,,,
17,Sun,3-Jan,,,,,New Orleans Saints,,,,,,,,,,,
