Week,Day,Date,Results,Entering Wins,Rec,Home,Opp,PF,PA,OTotYd,OPassY,ORushY,TO_lost,DTotYd,DPassY,DRushY,TO_won,week_after_bye
1,Sun,13-Sep,W,,Jan-00,,Miami Dolphins,21,11,357,140,217,1,269,182,87,3,
2,Sun,20-Sep,L,,1-Jan,@,Seattle Seahawks,30,35,464,397,67,1,429,275,154,1,
3,Sun,27-Sep,W,,1-Feb,,Las Vegas Raiders,36,20,406,156,250,1,375,249,126,3,
4,Mon,5-Oct,L,,2-Feb,@,Kansas City Chiefs,10,26,357,172,185,4,323,229,94,1,
5,Sun,11-Oct,,,,,Denver Broncos,,,,,,,,,,,
6,,,,,,,Bye Week,,,,,,,,,,,
7,Sun,25-Oct,,,,,San Francisco 49ers,,,,,,,,,,,
8,Sun,1-Nov,,,,@,Buffalo Bills,,,,,,,,,,,
9,Mon,9-Nov,,,,@,New York Jets,,,,,,,,,,,
10,Sun,15-Nov,,,,,Baltimore Ravens,,,,,,,,,,,
11,Sun,22-Nov,,,,@,Houston Texans,,,,,,,,,,,
12,Sun,29-Nov,,,,,Arizona Cardinals,,,,,,,,,,,
13,Sun,6-Dec,,,,@,Los Angeles Chargers,,,,,,,,,,,
14,Thu,10-Dec,,,,@,Los Angeles Rams,,,,,,,,,,,
15,Sun,20-Dec,,,,@,Miami Dolphins,,,,,,,,,,,
16,Mon,28-Dec,,,,,Buffalo Bills,,,,,,,,,,,
17,Sun,3-Jan,,,,,New York Jets,,,,,,,,,,,
