Week,Day,Date,Results,Entering Wins,Rec,Home,Opp,PF,PA,OTotYd,OPassY,ORushY,TO_lost,DTotYd,DPassY,DRushY,TO_won,week_after_bye
1,Sun,13-Sep,W,,Jan-00,@,Carolina Panthers,34,30,372,239,133,,388,259,129,,
2,Mon,21-Sep,W,,Feb-00,,New Orleans Saints,34,24,377,261,116,1,424,312,112,1,
3,Sun,27-Sep,L,,1-Feb,@,New England Patriots,20,36,375,249,126,3,406,156,250,1,
4,Sun,4-Oct,L,,2-Feb,,Buffalo Bills,23,30,383,297,86,2,336,274,62,,
5,Sun,11-Oct,,,,@,Kansas City Chiefs,,,,,,,,,,,
6,,,,,,,Bye Week,,,,,,,,,,,
7,Sun,25-Oct,,,,,Tampa Bay Buccaneers,,,,,,,,,,,
8,Sun,1-Nov,,,,@,Cleveland Browns,,,,,,,,,,,
9,Sun,8-Nov,,,,@,Los Angeles Chargers,,,,,,,,,,,
10,Sun,15-Nov,,,,,Denver Broncos,,,,,,,,,,,
11,Sun,22-Nov,,,,,Kansas City Chiefs,,,,,,,,,,,
12,Sun,29-Nov,,,,@,Atlanta Falcons,,,,,,,,,,,
13,Sun,6-Dec,,,,@,New York Jets,,,,,,,,,,,
14,Sun,13-Dec,,,,,Indianapolis Colts,,,,,,,,,,,
15,Thu,17-Dec,,,,,Los Angeles Chargers,,,,,,,,,,,
16,Sun,27-Dec,,,,,Miami Dolphins,,,,,,,,,,,
17,Sun,3-Jan,,,,@,Denver Broncos,,,,,,,,,,,
