Week,Day,Date,Results,Entering Wins,Rec,Home,Opp,PF,PA,OTotYd,OPassY,ORushY,TO_lost,DTotYd,DPassY,DRushY,TO_won,week_after_bye
1,Sun,13-Sep,W,,Jan-00,,Dallas Cowboys,20,17,422,269,153,1,380,244,136,,
2,Sun,20-Sep,W,,Feb-00,@,Philadelphia Eagles,37,19,449,258,191,1,363,242,121,3,
3,Sun,27-Sep,L,,1-Feb,@,Buffalo Bills,32,35,478,311,167,2,375,274,101,2,
4,Sun,4-Oct,W,,1-Mar,,New York Giants,17,9,240,182,58,1,295,159,136,1,
5,Sun,11-Oct,,,,@,Washington Football Team,,,,,,,,,,,
6,Sun,18-Oct,,,,@,San Francisco 49ers,,,,,,,,,,,
7,Mon,26-Oct,,,,,Chicago Bears,,,,,,,,,,,
8,Sun,1-Nov,,,,@,Miami Dolphins,,,,,,,,,,,
9,,,,,,,Bye Week,,,,,,,,,,,
10,Sun,15-Nov,,,,,Seattle Seahawks,,,,,,,,,,,
11,Mon,23-Nov,,,,@,Tampa Bay Buccaneers,,,,,,,,,,,
12,Sun,29-Nov,,,,,San Francisco 49ers,,,,,,,,,,,
13,Sun,6-Dec,,,,@,Arizona Cardinals,,,,,,,,,,,
14,Thu,10-Dec,,,,,New England Patriots,,,,,,,,,,,
15,Sun,20-Dec,,,,,New York Jets,,,,,,,,,,,
16,Sun,27-Dec,,,,@,Seattle Seahawks,,,,,,,,,,,
17,Sun,3-Jan,,,,,Arizona Cardinals,,,,,,,,,,,
