Week,Day,Date,Results,Entering Wins,Rec,Home,Opp,PF,PA,OTotYd,OPassY,ORushY,TO_lost,DTotYd,DPassY,DRushY,TO_won,week_after_bye
1,Sun,13-Sep,W,,Jan-00,,Cleveland Browns,38,6,381,270,111,1,306,168,138,3,
2,Sun,20-Sep,W,,Feb-00,@,Houston Texans,33,16,407,177,230,,304,253,51,2,
3,Mon,28-Sep,L,,1-Feb,,Kansas City Chiefs,20,34,228,70,158,1,517,385,132,1,
4,Sun,4-Oct,W,,1-Mar,@,Washington Football Team,31,17,350,206,144,2,343,274,69,1,
5,Sun,11-Oct,,,,,Cincinnati Bengals,,,,,,,,,,,
6,Sun,18-Oct,,,,@,Philadelphia Eagles,,,,,,,,,,,
7,,,,,,,Bye Week,,,,,,,,,,,
8,Sun,1-Nov,,,,,Pittsburgh Steelers,,,,,,,,,,,
9,Sun,8-Nov,,,,@,Indianapolis Colts,,,,,,,,,,,
10,Sun,15-Nov,,,,@,New England Patriots,,,,,,,,,,,
11,Sun,22-Nov,,,,,Tennessee Titans,,,,,,,,,,,
12,Thu,26-Nov,,,,@,Pittsburgh Steelers,,,,,,,,,,,
13,Thu,3-Dec,,,,,Dallas Cowboys,,,,,,,,,,,
14,Mon,14-Dec,,,,@,Cleveland Browns,,,,,,,,,,,
15,Sun,20-Dec,,,,,Jacksonville Jaguars,,,,,,,,,,,
16,Sun,27-Dec,,,,,New York Giants,,,,,,,,,,,
17,Sun,3-Jan,,,,@,Cincinnati Bengals,,,,,,,,,,,
