Week,Day,Date,Results,Entering Wins,Rec,Home,Opp,PF,PA,OTotYd,OPassY,ORushY,TO_lost,DTotYd,DPassY,DRushY,TO_won,week_after_bye
1,Sun,13-Sep,W,,Jan-00,,Tampa Bay Buccaneers,34,23,271,189,82,,310,224,86,3,
2,Mon,21-Sep,L,,1-Jan,@,Las Vegas Raiders,24,34,424,312,112,1,377,261,116,1,
3,Sun,27-Sep,L,,2-Jan,,Green Bay Packers,30,37,397,275,122,1,369,271,98,,
4,Sun,4-Oct,W,,2-Feb,@,Detroit Lions,35,29,392,228,164,1,281,191,90,1,
5,Mon,12-Oct,,,,,Los Angeles Chargers,,,,,,,,,,,
6,,,,,,,Bye Week,,,,,,,,,,,
7,Sun,25-Oct,,,,,Carolina Panthers,,,,,,,,,,,
8,Sun,1-Nov,,,,@,Chicago Bears,,,,,,,,,,,
9,Sun,8-Nov,,,,@,Tampa Bay Buccaneers,,,,,,,,,,,
10,Sun,15-Nov,,,,,San Francisco 49ers,,,,,,,,,,,
11,Sun,22-Nov,,,,,Atlanta Falcons,,,,,,,,,,,
12,Sun,29-Nov,,,,@,Denver Broncos,,,,,,,,,,,
13,Sun,6-Dec,,,,@,Atlanta Falcons,,,,,,,,,,,
14,Sun,13-Dec,,,,@,Philadelphia Eagles,,,,,,,,,,,
15,Sun,20-Dec,,,,,Kansas City Chiefs,,,,,,,,,,,
16,Fri,25-Dec,,,,,Minnesota Vikings,,,,,,,,,,,
17,Sun,3-Jan,,,,@,Carolina Panthers,,,,,,,,,,,
