Week,Day,Date,Results,Entering Wins,Rec,Home,Opp,PF,PA,OTotYd,OPassY,ORushY,TO_lost,DTotYd,DPassY,DRushY,TO_won,week_after_bye
1,Sun,13-Sep,W,,Jan-00,@,Atlanta Falcons,38,25,383,299,84,,506,434,72,2,
2,Sun,20-Sep,W,,Feb-00,,New England Patriots,35,30,429,275,154,1,464,397,67,1,
3,Sun,27-Sep,W,,Mar-00,,Dallas Cowboys,38,31,412,295,117,1,522,461,61,3,
4,Sun,4-Oct,W,,Apr-00,@,Miami Dolphins,31,23,441,343,98,1,415,312,103,2,
5,Sun,11-Oct,,,,,Minnesota Vikings,,,,,,,,,,,
6,,,,,,,Bye Week,,,,,,,,,,,
7,Sun,25-Oct,,,,@,Arizona Cardinals,,,,,,,,,,,
8,Sun,1-Nov,,,,,San Francisco 49ers,,,,,,,,,,,
9,Sun,8-Nov,,,,@,Buffalo Bills,,,,,,,,,,,
10,Sun,15-Nov,,,,@,Los Angeles Rams,,,,,,,,,,,
11,Thu,19-Nov,,,,,Arizona Cardinals,,,,,,,,,,,
12,Mon,30-Nov,,,,@,Philadelphia Eagles,,,,,,,,,,,
13,Sun,6-Dec,,,,,New York Giants,,,,,,,,,,,
14,Sun,13-Dec,,,,,New York Jets,,,,,,,,,,,
15,Sun,20-Dec,,,,@,Washington Football Team,,,,,,,,,,,
16,Sun,27-Dec,,,,,Los Angeles Rams,,,,,,,,,,,
17,Sun,3-Jan,,,,@,San Francisco 49ers,,,,,,,,,,,
