Week,Day,Date,Results,Entering Wins,Rec,Home,Opp,PF,PA,OTotYd,OPassY,ORushY,TO_lost,DTotYd,DPassY,DRushY,TO_won,week_after_bye
1,Mon,14-Sep,W,,Jan-00,@,New York Giants,26,16,349,208,141,1,291,262,29,2,
2,Sun,20-Sep,W,,Feb-00,,Denver Broncos,26,21,410,301,109,2,319,215,104,2,
3,Sun,27-Sep,W,,Mar-00,,Houston Texans,28,21,387,218,169,,260,231,29,1,
4,,,,,,,Bye Week,,,,,,,,,,,
5,Sun,11-Oct,,,,,Philadelphia Eagles,,,,,,,,,,,
6,Sun,18-Oct,,,,,Cleveland Browns,,,,,,,,,,,
7,Sun,25-Oct,,,,@,Tennessee Titans,,,,,,,,,,,
8,Sun,1-Nov,,,,@,Baltimore Ravens,,,,,,,,,,,
9,Sun,8-Nov,,,,@,Dallas Cowboys,,,,,,,,,,,
10,Sun,15-Nov,,,,,Cincinnati Bengals,,,,,,,,,,,
11,Sun,22-Nov,,,,@,Jacksonville Jaguars,,,,,,,,,,,
12,Thu,26-Nov,,,,,Baltimore Ravens,,,,,,,,,,,
13,Sun,6-Dec,,,,,Washington Football Team,,,,,,,,,,,
14,Sun,13-Dec,,,,@,Buffalo Bills,,,,,,,,,,,
15,Mon,21-Dec,,,,@,Cincinnati Bengals,,,,,,,,,,,
16,Sun,27-Dec,,,,,Indianapolis Colts,,,,,,,,,,,
17,Sun,3-Jan,,,,@,Cleveland Browns,,,,,,,,,,,
