Week,Day,Date,Results,Entering Wins,Rec,Home,Opp,PF,PA,OTotYd,OPassY,ORushY,TO_lost,DTotYd,DPassY,DRushY,TO_won,week_after_bye
1,Thu,10-Sep,L,,0-1,@,Kansas City Chiefs,20,34,360,242,118,1,369,203,166,,
2,Sun,20-Sep,L,,0-2,,Baltimore Ravens,16,33,304,253,51,2,407,177,230,,
3,Sun,27-Sep,L,,0-3,@,Pittsburgh Steelers,21,28,260,231,29,1,387,218,169,,
4,Sun,4-Oct,L,,0-4,,Minnesota Vikings,23,31,386,290,96,1,410,248,162,,
5,Sun,11-Oct,,,,,Jacksonville Jaguars,,,,,,,,,,,
6,Sun,18-Oct,,,,@,Tennessee Titans,,,,,,,,,,,
7,Sun,25-Oct,,,,,Green Bay Packers,,,,,,,,,,,
8,,,,,,,Bye Week,,,,,,,,,,,
9,Sun,8-Nov,,,,@,Jacksonville Jaguars,,,,,,,,,,,
10,Sun,15-Nov,,,,@,Cleveland Browns,,,,,,,,,,,
11,Sun,22-Nov,,,,,New England Patriots,,,,,,,,,,,
12,Thu,26-Nov,,,,@,Detroit Lions,,,,,,,,,,,
13,Sun,6-Dec,,,,,Indianapolis Colts,,,,,,,,,,,
14,Sun,13-Dec,,,,@,Chicago Bears,,,,,,,,,,,
15,Sun,20-Dec,,,,@,Indianapolis Colts,,,,,,,,,,,
16,Sun,27-Dec,,,,,Cincinnati Bengals,,,,,,,,,,,
17,Sun,3-Jan,,,,,Tennessee Titans,,,,,,,,,,,
