Week,Day,Date,Results,Entering Wins,Rec,Home,Opp,PF,PA,OTotYd,OPassY,ORushY,TO_lost,DTotYd,DPassY,DRushY,TO_won,week_after_bye
1,Mon,14-Sep,W,,Jan-00,@,Denver Broncos,16,14,377,247,130,,323,216,107,1,
2,Sun,20-Sep,W,,Feb-00,,Jacksonville Jaguars,33,30,354,231,123,,480,315,165,2,
3,Sun,27-Sep,W,,Mar-00,@,Minnesota Vikings,31,30,444,310,134,1,464,238,226,3,
4,,,,,,,Bye Week,,,,,,,,,,,
5,Sun,11-Oct,,,,,Buffalo Bills,,,,,,,,,,,
6,Sun,18-Oct,,,,,Houston Texans,,,,,,,,,,,
7,Sun,25-Oct,,,,,Pittsburgh Steelers,,,,,,,,,,,
8,Sun,1-Nov,,,,@,Cincinnati Bengals,,,,,,,,,,,
9,Sun,8-Nov,,,,,Chicago Bears,,,,,,,,,,,
10,Thu,12-Nov,,,,,Indianapolis Colts,,,,,,,,,,,
11,Sun,22-Nov,,,,@,Baltimore Ravens,,,,,,,,,,,
12,Sun,29-Nov,,,,@,Indianapolis Colts,,,,,,,,,,,
13,Sun,6-Dec,,,,,Cleveland Browns,,,,,,,,,,,
14,Sun,13-Dec,,,,@,Jacksonville Jaguars,,,,,,,,,,,
15,Sun,20-Dec,,,,,Detroit Lions,,,,,,,,,,,
16,Sun,27-Dec,,,,@,Green Bay Packers,,,,,,,,,,,
17,Sun,3-Jan,,,,@,Houston Texans,,,,,,,,,,,
