Week,Day,Date,Results,Entering Wins,Rec,Home,Opp,PF,PA,OTotYd,OPassY,ORushY,TO_lost,DTotYd,DPassY,DRushY,TO_won,week_after_bye
1,Sun,13-Sep,L,,0-1,,Green Bay Packers,34,43,382,248,134,1,522,364,158,,
2,Sun,20-Sep,L,,0-2,@,Indianapolis Colts,11,28,175,95,80,3,354,203,151,1,
3,Sun,27-Sep,L,,0-3,,Tennessee Titans,30,31,464,238,226,3,444,310,134,1,
4,Sun,4-Oct,W,,3-Jan,@,Houston Texans,31,23,410,248,162,,386,290,96,1,
5,Sun,11-Oct,,,,@,Seattle Seahawks,,,,,,,,,,,
6,Sun,18-Oct,,,,,Atlanta Falcons,,,,,,,,,,,
7,,,,,,,Bye Week,,,,,,,,,,,
8,Sun,1-Nov,,,,@,Green Bay Packers,,,,,,,,,,,
9,Sun,8-Nov,,,,,Detroit Lions,,,,,,,,,,,
10,Mon,16-Nov,,,,@,Chicago Bears,,,,,,,,,,,
11,Sun,22-Nov,,,,,Dallas Cowboys,,,,,,,,,,,
12,Sun,29-Nov,,,,,Carolina Panthers,,,,,,,,,,,
13,Sun,6-Dec,,,,,Jacksonville Jaguars,,,,,,,,,,,
14,Sun,13-Dec,,,,@,Tampa Bay Buccaneers,,,,,,,,,,,
15,Sun,20-Dec,,,,,Chicago Bears,,,,,,,,,,,
16,Fri,25-Dec,,,,@,New Orleans Saints,,,,,,,,,,,
17,Sun,3-Jan,,,,@,Detroit Lions,,,,,,,,,,,
