Week,Day,Date,Results,Entering Wins,Rec,Home,Opp,PF,PA,OTotYd,OPassY,ORushY,TO_lost,DTotYd,DPassY,DRushY,TO_won,week_after_bye
1,Sun,13-Sep,W,,Jan-00,,Philadelphia Eagles,27,17,239,159,80,,265,208,57,3,
2,Sun,20-Sep,L,,1-Jan,@,Arizona Cardinals,15,30,316,199,117,2,438,278,160,1,
3,Sun,27-Sep,L,,2-Jan,@,Cleveland Browns,20,34,309,206,103,5,300,142,158,,
4,Sun,4-Oct,L,,3-Jan,,Baltimore Ravens,17,31,343,274,69,1,350,206,144,2,
5,Sun,11-Oct,,,,,Los Angeles Rams,,,,,,,,,,,
6,Sun,18-Oct,,,,@,New York Giants,,,,,,,,,,,
7,Sun,25-Oct,,,,,Dallas Cowboys,,,,,,,,,,,
8,,,,,,,Bye Week,,,,,,,,,,,
9,Sun,8-Nov,,,,,New York Giants,,,,,,,,,,,
10,Sun,15-Nov,,,,@,Detroit Lions,,,,,,,,,,,
11,Sun,22-Nov,,,,,Cincinnati Bengals,,,,,,,,,,,
12,Thu,26-Nov,,,,@,Dallas Cowboys,,,,,,,,,,,
13,Sun,6-Dec,,,,@,Pittsburgh Steelers,,,,,,,,,,,
14,Sun,13-Dec,,,,@,San Francisco 49ers,,,,,,,,,,,
15,Sun,20-Dec,,,,,Seattle Seahawks,,,,,,,,,,,
16,Sun,27-Dec,,,,,Carolina Panthers,,,,,,,,,,,
17,Sun,3-Jan,,,,@,Philadelphia Eagles,,,,,,,,,,,
