Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,13-Sep,4:05PM ET,boxscore,L,,0-1,,Los Angeles Chargers,13,16,19,295,173,122,2,19,362,207,155,,-8.27,2.07,3.54
2,Thu,17-Sep,8:20PM ET,boxscore,L,,0-2,@,Cleveland Browns,30,35,30,353,285,68,1,23,434,219,215,1,11.19,-19.62,1.79
3,Sun,27-Sep,1:00PM ET,boxscore,T,OT,0-2-1,@,Philadelphia Eagles,23,23,24,304,256,48,,27,381,206,175,2,-0.48,-1.65,1.44
4,Sun,4-Oct,1:00PM ET,boxscore,W,,1/2/2001,,Jacksonville Jaguars,33,25,28,505,300,205,1,25,429,340,89,1,19.25,-13.22,4.81
5,Sun,11-Oct,1:00PM ET,boxscore,L,,1/3/2001,@,Baltimore Ravens,3,27,12,205,135,70,3,17,332,171,161,1,-28.69,-2.28,3.99
6,Sun,18-Oct,1:00PM ET,boxscore,L,,1/4/2001,@,Indianapolis Colts,27,31,22,398,300,98,1,23,430,371,59,2,12.35,-16,-0.22
7,Sun,25-Oct,1:00PM ET,preview,,,1,,Cleveland Browns,,,,,,,,,,,,,,,
8,Sun,1-Nov,1:00PM ET,preview,,,1,,Tennessee Titans,,,,,,,,,,,,,,,
9,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
10,Sun,15-Nov,1:00PM ET,preview,,,1,@,Pittsburgh Steelers,,,,,,,,,,,,,,,
11,Sun,22-Nov,1:00PM ET,preview,,,1,@,Washington Football Team,,,,,,,,,,,,,,,
12,Sun,29-Nov,1:00PM ET,preview,,,1,,New York Giants,,,,,,,,,,,,,,,
13,Sun,6-Dec,1:00PM ET,preview,,,1,@,Miami Dolphins,,,,,,,,,,,,,,,
14,Sun,13-Dec,1:00PM ET,preview,,,1,,Dallas Cowboys,,,,,,,,,,,,,,,
15,Mon,21-Dec,8:15PM ET,preview,,,1,,Pittsburgh Steelers,,,,,,,,,,,,,,,
16,Sun,27-Dec,1:00PM ET,preview,,,1,@,Houston Texans,,,,,,,,,,,,,,,
17,Sun,3-Jan,1:00PM ET,preview,,,1,,Baltimore Ravens,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
