Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,13-Sep,1:00PM ET,boxscore,W,,Jan-00,,New York Jets,27,17,31,404,306,98,2,15,254,202,52,2,14.47,0.12,-3.63
2,Sun,20-Sep,1:00PM ET,boxscore,W,,Feb-00,@,Miami Dolphins,31,28,23,523,411,112,1,28,410,311,99,,21.16,-12.7,-2.3
3,Sun,27-Sep,1:00PM ET,boxscore,W,,Mar-00,,Los Angeles Rams,35,32,23,375,274,101,2,28,478,311,167,2,17.83,-19.86,6.79
4,Sun,4-Oct,4:25PM ET,boxscore,W,,Apr-00,@,Las Vegas Raiders,30,23,21,337,274,63,,24,383,297,86,2,16.49,-7.2,-1.37
5,Tue,13-Oct,7:00PM ET,boxscore,L,,1-Apr,@,Tennessee Titans,16,42,23,370,275,95,3,25,334,195,139,,1.55,-24.29,-0.82
6,Mon,19-Oct,5:00PM ET,boxscore,L,,2-Apr,,Kansas City Chiefs,17,26,20,206,122,84,1,27,466,221,245,1,4.19,-21.56,8.48
7,Sun,25-Oct,1:00PM ET,preview,,,,@,New York Jets,,,,,,,,,,,,,,,
8,Sun,1-Nov,1:00PM ET,preview,,,,,New England Patriots,,,,,,,,,,,,,,,
9,Sun,8-Nov,1:00PM ET,preview,,,,,Seattle Seahawks,,,,,,,,,,,,,,,
10,Sun,15-Nov,4:05PM ET,preview,,,,@,Arizona Cardinals,,,,,,,,,,,,,,,
11,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
12,Sun,29-Nov,1:00PM ET,preview,,,,,Los Angeles Chargers,,,,,,,,,,,,,,,
13,Mon,7-Dec,8:15PM ET,preview,,,,@,San Francisco 49ers,,,,,,,,,,,,,,,
14,Sun,13-Dec,8:20PM ET,preview,,,,,Pittsburgh Steelers,,,,,,,,,,,,,,,
15,Sun,20-Dec,1:00PM ET,preview,,,,@,Denver Broncos,,,,,,,,,,,,,,,
16,Mon,28-Dec,8:15PM ET,preview,,,,@,New England Patriots,,,,,,,,,,,,,,,
17,Sun,3-Jan,1:00PM ET,preview,,,,,Miami Dolphins,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
