Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Mon,14-Sep,10:10PM ET,boxscore,L,,0-1,,Tennessee Titans,14,16,19,323,216,107,1,26,377,247,130,,3.03,-12.3,11.9
2,Sun,20-Sep,1:00PM ET,boxscore,L,,0-2,@,Pittsburgh Steelers,21,26,23,319,215,104,2,19,410,301,109,2,-6.02,0.36,-3.9
3,Sun,27-Sep,4:25PM ET,boxscore,L,,0-3,,Tampa Bay Buccaneers,10,28,13,226,184,42,2,17,353,285,68,,-10.72,-7.71,-0.99
4,Thu,1-Oct,8:20PM ET,boxscore,W,,3-Jan,@,New York Jets,37,28,21,359,242,117,3,18,321,192,129,,7.81,6.47,-0.72
5,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
6,Sun,18-Oct,1:00PM ET,boxscore,W,,3-Feb,@,New England Patriots,18,12,15,299,164,135,2,14,288,171,117,3,-6.67,13.3,-1.59
7,Sun,25-Oct,4:25PM ET,preview,,,,,Kansas City Chiefs,,,,,,,,,,,,,,,
8,Sun,1-Nov,4:05PM ET,preview,,,,,Los Angeles Chargers,,,,,,,,,,,,,,,
9,Sun,8-Nov,1:00PM ET,preview,,,,@,Atlanta Falcons,,,,,,,,,,,,,,,
10,Sun,15-Nov,4:05PM ET,preview,,,,@,Las Vegas Raiders,,,,,,,,,,,,,,,
11,Sun,22-Nov,4:05PM ET,preview,,,,,Miami Dolphins,,,,,,,,,,,,,,,
12,Sun,29-Nov,4:05PM ET,preview,,,,,New Orleans Saints,,,,,,,,,,,,,,,
13,Sun,6-Dec,8:20PM ET,preview,,,,@,Kansas City Chiefs,,,,,,,,,,,,,,,
14,Sun,13-Dec,1:00PM ET,preview,,,,@,Carolina Panthers,,,,,,,,,,,,,,,
15,Sun,20-Dec,1:00PM ET,preview,,,,,Buffalo Bills,,,,,,,,,,,,,,,
16,Sun,27-Dec,1:00PM ET,preview,,,,@,Los Angeles Chargers,,,,,,,,,,,,,,,
17,Sun,3-Jan,4:25PM ET,preview,,,,,Las Vegas Raiders,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
