Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,13-Sep,1:00PM ET,boxscore,L,,0-1,@,Baltimore Ravens,6,38,20,306,168,138,3,23,381,270,111,1,-8.32,-16.62,-8.64
2,Thu,17-Sep,8:20PM ET,boxscore,W,,1-Jan,,Cincinnati Bengals,35,30,23,434,219,215,1,30,353,285,68,1,19.62,-11.19,-1.79
3,Sun,27-Sep,1:00PM ET,boxscore,W,,1-Feb,,Washington Football Team,34,20,19,300,142,158,,19,309,206,103,5,8.28,4.68,1.14
4,Sun,4-Oct,1:00PM ET,boxscore,W,,1-Mar,@,Dallas Cowboys,49,38,33,508,201,307,,35,566,481,85,3,29.43,-19.85,1.81
5,Sun,11-Oct,4:25PM ET,boxscore,W,,1-Apr,,Indianapolis Colts,32,23,22,385,261,124,2,15,308,240,68,2,9.88,2.46,-4.93
6,Sun,18-Oct,1:00PM ET,boxscore,L,,2-Apr,@,Pittsburgh Steelers,7,38,12,220,145,75,2,18,277,148,129,,-22.96,-6.99,-0.58
7,Sun,25-Oct,1:00PM ET,preview,,,,@,Cincinnati Bengals,,,,,,,,,,,,,,,
8,Sun,1-Nov,1:00PM ET,preview,,,,,Las Vegas Raiders,,,,,,,,,,,,,,,
9,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
10,Sun,15-Nov,1:00PM ET,preview,,,,,Houston Texans,,,,,,,,,,,,,,,
11,Sun,22-Nov,1:00PM ET,preview,,,,,Philadelphia Eagles,,,,,,,,,,,,,,,
12,Sun,29-Nov,1:00PM ET,preview,,,,@,Jacksonville Jaguars,,,,,,,,,,,,,,,
13,Sun,6-Dec,1:00PM ET,preview,,,,@,Tennessee Titans,,,,,,,,,,,,,,,
14,Mon,14-Dec,8:15PM ET,preview,,,,,Baltimore Ravens,,,,,,,,,,,,,,,
15,Sun,20-Dec,1:00PM ET,preview,,,,@,New York Giants,,,,,,,,,,,,,,,
16,Sun,27-Dec,1:00PM ET,preview,,,,@,New York Jets,,,,,,,,,,,,,,,
17,Sun,3-Jan,1:00PM ET,preview,,,,,Pittsburgh Steelers,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
