Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,13-Sep,4:25PM ET,boxscore,L,,0-1,@,New Orleans Saints,23,34,23,310,224,86,3,18,271,189,82,,0.48,-1.98,-11.57
2,Sun,20-Sep,1:00PM ET,boxscore,W,,1-Jan,,Carolina Panthers,31,17,20,339,217,122,2,24,427,340,87,4,7.61,-0.25,4.83
3,Sun,27-Sep,4:25PM ET,boxscore,W,,1-Feb,@,Denver Broncos,28,10,17,353,285,68,,13,226,184,42,2,7.71,10.72,0.99
4,Sun,4-Oct,1:00PM ET,boxscore,W,,1-Mar,,Los Angeles Chargers,38,31,28,484,369,115,1,15,324,278,46,2,12.95,-5.88,0.2
5,Thu,8-Oct,8:20PM ET,boxscore,L,,2-Mar,@,Chicago Bears,19,20,18,339,233,106,1,18,243,208,35,1,-3.3,0.67,-1.05
6,Sun,18-Oct,4:25PM ET,boxscore,W,,2-Apr,,Green Bay Packers,38,10,21,324,166,158,,13,201,107,94,2,15.29,21.73,-4.79
7,Sun,25-Oct,8:20PM ET,preview,,,,@,Las Vegas Raiders,,,,,,,,,,,,,,,
8,Mon,2-Nov,8:15PM ET,preview,,,,@,New York Giants,,,,,,,,,,,,,,,
9,Sun,8-Nov,8:20PM ET,preview,,,,,New Orleans Saints,,,,,,,,,,,,,,,
10,Sun,15-Nov,1:00PM ET,preview,,,,@,Carolina Panthers,,,,,,,,,,,,,,,
11,Mon,23-Nov,8:15PM ET,preview,,,,,Los Angeles Rams,,,,,,,,,,,,,,,
12,Sun,29-Nov,4:25PM ET,preview,,,,,Kansas City Chiefs,,,,,,,,,,,,,,,
13,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
14,Sun,13-Dec,1:00PM ET,preview,,,,,Minnesota Vikings,,,,,,,,,,,,,,,
15,Sun,20-Dec,1:00PM ET,preview,,,,@,Atlanta Falcons,,,,,,,,,,,,,,,
16,Sun,27-Dec,1:00PM ET,preview,,,,@,Detroit Lions,,,,,,,,,,,,,,,
17,Sun,3-Jan,1:00PM ET,preview,,,,,Atlanta Falcons,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
