Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,13-Sep,4:25PM ET,boxscore,W,,Jan-00,@,San Francisco 49ers,24,20,29,404,224,180,1,18,366,243,123,,6.46,-3.88,-0.46
2,Sun,20-Sep,4:05PM ET,boxscore,W,,Feb-00,,Washington Football Team,30,15,22,438,278,160,1,19,316,199,117,2,8.92,0.18,6.91
3,Sun,27-Sep,4:25PM ET,boxscore,L,,1-Feb,,Detroit Lions,23,26,28,377,268,109,3,22,322,232,90,,8.07,-8.15,-2.46
4,Sun,4-Oct,1:00PM ET,boxscore,L,,2-Feb,@,Carolina Panthers,21,31,21,262,133,129,1,30,444,276,168,1,8.53,-23.36,3.47
5,Sun,11-Oct,1:00PM ET,boxscore,W,,2-Mar,@,New York Jets,30,10,28,496,369,127,1,21,285,162,123,,17.2,4.27,-3.61
6,Mon,19-Oct,8:15PM ET,boxscore,W,,2-Apr,@,Dallas Cowboys,38,10,22,438,177,261,,27,344,247,97,4,23.56,3.91,-0.53
7,Sun,25-Oct,4:05PM ET,preview,,,,,Seattle Seahawks,,,,,,,,,,,,,,,
8,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
9,Sun,8-Nov,4:25PM ET,preview,,,,,Miami Dolphins,,,,,,,,,,,,,,,
10,Sun,15-Nov,4:05PM ET,preview,,,,,Buffalo Bills,,,,,,,,,,,,,,,
11,Thu,19-Nov,8:20PM ET,preview,,,,@,Seattle Seahawks,,,,,,,,,,,,,,,
12,Sun,29-Nov,1:00PM ET,preview,,,,@,New England Patriots,,,,,,,,,,,,,,,
13,Sun,6-Dec,4:05PM ET,preview,,,,,Los Angeles Rams,,,,,,,,,,,,,,,
14,Sun,13-Dec,1:00PM ET,preview,,,,@,New York Giants,,,,,,,,,,,,,,,
15,Sun,20-Dec,4:05PM ET,preview,,,,,Philadelphia Eagles,,,,,,,,,,,,,,,
16,Sun,27-Dec,1:00AM ET,preview,,,,,San Francisco 49ers,,,,,,,,,,,,,,,
17,Sun,3-Jan,4:25PM ET,preview,,,,@,Los Angeles Rams,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
