Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,13-Sep,4:05PM ET,boxscore,W,,Jan-00,@,Cincinnati Bengals,16,13,19,362,207,155,,19,295,173,122,2,-2.07,8.27,-3.54
2,Sun,20-Sep,4:25PM ET,boxscore,L,OT,1-Jan,,Kansas City Chiefs,20,23,28,479,296,183,1,23,414,289,125,,13.33,-10.92,-3.8
3,Sun,27-Sep,4:05PM ET,boxscore,L,,2-Jan,,Carolina Panthers,16,21,26,436,319,117,4,14,302,221,81,,-5.44,-1.18,0.62
4,Sun,4-Oct,1:00PM ET,boxscore,L,,3-Jan,@,Tampa Bay Buccaneers,31,38,15,324,278,46,2,28,484,369,115,1,5.88,-12.95,-0.2
5,Mon,12-Oct,8:15PM ET,boxscore,L,OT,4-Jan,@,New Orleans Saints,27,30,19,350,239,111,,23,408,313,95,1,6.8,-3.09,-7.44
6,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
7,Sun,25-Oct,4:25PM ET,preview,,,,,Jacksonville Jaguars,,,,,,,,,,,,,,,
8,Sun,1-Nov,4:05PM ET,preview,,,,@,Denver Broncos,,,,,,,,,,,,,,,
9,Sun,8-Nov,4:05PM ET,preview,,,,,Las Vegas Raiders,,,,,,,,,,,,,,,
10,Sun,15-Nov,4:05PM ET,preview,,,,@,Miami Dolphins,,,,,,,,,,,,,,,
11,Sun,22-Nov,4:05PM ET,preview,,,,,New York Jets,,,,,,,,,,,,,,,
12,Sun,29-Nov,1:00PM ET,preview,,,,@,Buffalo Bills,,,,,,,,,,,,,,,
13,Sun,6-Dec,4:25PM ET,preview,,,,,New England Patriots,,,,,,,,,,,,,,,
14,Sun,13-Dec,4:25PM ET,preview,,,,,Atlanta Falcons,,,,,,,,,,,,,,,
15,Thu,17-Dec,8:20PM ET,preview,,,,@,Las Vegas Raiders,,,,,,,,,,,,,,,
16,Sun,27-Dec,1:00PM ET,preview,,,,,Denver Broncos,,,,,,,,,,,,,,,
17,Sun,3-Jan,1:00PM ET,preview,,,,@,Kansas City Chiefs,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
