Week,Day,Date,Results,Entering Wins,Rec,Home,Opp,PF,PA,OTotYd,OPassY,ORushY,TO_lost,DTotYd,DPassY,DRushY,TO_won,week_after_bye
1,Sun,11-Sep,W,,Jan-00,,Atlanta Falcons,30,12,377,289,88,1,386,276,110,3,
2,Sun,18-Sep,L,,1-Jan,@,New Orleans Saints,13,30,246,186,60,1,382,264,118,1,
3,Sun,25-Sep,L,,2-Jan,,Green Bay Packers,17,27,291,278,13,2,392,292,100,2,
4,Sun,2-Oct,W,,2-Feb,,Carolina Panthers,34,29,317,93,224,1,543,374,169,1,
5,Mon,10-Oct,L,,3-Feb,@,Detroit Lions,13,24,359,237,122,,395,214,181,1,
6,Sun,16-Oct,W,,3-Mar,,Minnesota Vikings,39,10,377,258,119,1,286,233,53,,
7,Sun,23-Oct,W,,3-Apr,@,Tampa Bay Buccaneers,24,18,395,218,177,2,280,250,30,4,
8,,,,,,,Bye Week,,,,,,,,,,,
9,Mon,7-Nov,W,,3-May,@,Philadelphia Eagles,30,24,372,208,164,2,330,211,119,2,
10,Sun,13-Nov,W,,3-Jun,,Detroit Lions,37,13,216,107,109,1,393,313,80,6,
11,Sun,20-Nov,W,,3-Jul,,San Diego Chargers,31,20,378,286,92,1,332,280,52,3,
12,Sun,27-Nov,L,,4-Jul,@,Oakland Raiders,20,25,401,229,172,3,341,268,73,1,
13,Sun,4-Dec,L,,5-Jul,,Kansas City Chiefs,3,10,181,88,93,3,252,139,113,1,
14,Sun,11-Dec,L,OT,6-Jul,@,Denver Broncos,10,13,245,86,159,1,345,221,124,2,
15,Sun,18-Dec,L,,7-Jul,,Seattle Seahawks,14,38,221,89,132,5,286,226,60,1,
16,Sun,25-Dec,L,,8-Jul,@,Green Bay Packers,21,35,441,242,199,2,363,282,81,,
17,Sun,1-Jan,W,,8-Aug,@,Minnesota Vikings,17,13,209,117,92,3,301,222,79,3,
