Week,Day,Date,Results,Entering Wins,Rec,Home,Opp,PF,PA,OTotYd,OPassY,ORushY,TO_lost,DTotYd,DPassY,DRushY,TO_won,week_after_bye
1,Sun,13-Sep,W,,Jan-00,@,Oakland Raiders,33,13,396,269,127,,246,183,63,2,
2,Sun,20-Sep,W,,Feb-00,,San Diego Chargers,24,19,389,214,175,2,354,223,131,3,
3,Sun,27-Sep,W,,Mar-00,@,Baltimore Ravens,28,24,458,372,86,2,398,362,36,1,
4,Sun,4-Oct,W,,Apr-00,,Kansas City Chiefs,36,21,445,321,124,,461,348,113,1,
5,Sun,11-Oct,W,OT,May-00,,Seattle Seahawks,27,24,419,310,109,2,397,197,200,1,
6,Sun,18-Oct,W,,Jun-00,@,Buffalo Bills,34,21,355,243,112,,368,256,112,1,
7,,,,,,,Bye Week,,,,,,,,,,,
8,Sun,1-Nov,W,,Jul-00,@,Pittsburgh Steelers,16,10,296,218,78,2,356,240,116,3,
9,Thu,5-Nov,W,,Aug-00,,Cleveland Browns,31,10,371,219,152,,213,144,69,,
10,Mon,16-Nov,L,,1-Aug,,Houston Texans,6,10,256,182,74,2,256,174,82,1,
11,Sun,22-Nov,L,,2-Aug,@,Arizona Cardinals,31,34,377,278,99,1,383,301,82,2,
12,Sun,29-Nov,W,,2-Sep,,St. Louis Rams,31,7,376,236,140,1,345,251,94,3,
13,Sun,6-Dec,W,,2-Oct,@,Cleveland Browns,37,3,377,233,144,,273,205,68,2,
14,Sun,13-Dec,L,,3-Oct,,Pittsburgh Steelers,20,33,385,321,64,3,354,270,84,1,
15,Sun,20-Dec,W,,3-Nov,@,San Francisco 49ers,24,14,242,174,68,1,318,263,55,4,
16,Mon,28-Dec,L,OT,4-Nov,@,Denver Broncos,17,20,294,186,108,1,390,277,113,1,
17,Sun,3-Jan,W,,4-Dec,,Baltimore Ravens,24,16,292,147,145,,341,282,59,2,
18,Sat,9-Jan,L,,5-Dec,,Pittsburgh Steelers,16,18,279,188,91,4,369,202,167,2,
