Week,Day,Date,,OT,Rec,,Opp,Tm,Opp,TotYd,PassY,RushY,TO,TotYd,PassY,RushY,TO
1,Sun,8-Sep,L,,0-1,,New England Patriots,21,23,286,150,136,2,431,273,158,3
2,Sun,15-Sep,W,,1-Jan,,Carolina Panthers,24,23,436,287,149,2,308,183,125,1
3,Sun,22-Sep,L,,2-Jan,@,New York Jets,20,27,328,208,120,,513,331,182,2
4,Sun,29-Sep,W,,2-Feb,,Baltimore Ravens,23,20,350,147,203,3,345,321,24,5
5,Thu,3-Oct,L,,3-Feb,@,Cleveland Browns,24,37,343,188,155,1,290,199,91,
6,Sun,13-Oct,L,OT,4-Feb,,Cincinnati Bengals,24,27,322,192,130,1,483,318,165,1
7,Sun,20-Oct,W,,4-Mar,@,Miami Dolphins,23,21,268,178,90,1,293,173,120,3
8,Sun,27-Oct,L,,5-Mar,@,New Orleans Saints,17,35,299,211,88,3,386,309,77,
9,Sun,3-Nov,L,,6-Mar,,Kansas City Chiefs,13,23,470,229,241,3,210,115,95,
10,Sun,10-Nov,L,,7-Mar,@,Pittsburgh Steelers,10,23,227,132,95,1,300,164,136,1
11,Sun,17-Nov,W,,7-Apr,,New York Jets,37,14,313,245,68,,267,133,134,4
12,,,,,,,Bye Week,,,,,,,,,,
13,Sun,1-Dec,L,OT,8-Apr,,Atlanta Falcons,31,34,405,210,195,2,423,272,151,1
14,Sun,8-Dec,L,,9-Apr,@,Tampa Bay Buccaneers,6,27,214,147,67,5,246,81,165,2
15,Sun,15-Dec,W,,9-May,@,Jacksonville Jaguars,27,20,366,168,198,2,354,195,159,4
16,Sun,22-Dec,W,,9-Jun,,Miami Dolphins,19,0,390,187,203,1,103,89,14,2
17,Sun,29-Dec,L,,10-Jun,@,New England Patriots,20,34,393,224,169,,382,115,267,1
