Week,Day,Date,Results,Entering Wins,Rec,Home,Opp,PF,PA,OTotYd,OPassY,ORushY,TO_lost,DTotYd,DPassY,DRushY,TO_won,week_after_bye
1,Sun,10-Sep,W,,Jan-00,,New York Jets,21,12,408,218,190,1,214,176,38,2,
2,Sun,17-Sep,L,,1-Jan,@,Carolina Panthers,3,9,176,107,69,,255,178,77,,
3,Sun,24-Sep,W,,1-Feb,,Denver Broncos,26,16,272,197,75,,366,255,111,2,
4,Sun,1-Oct,W,,1-Mar,@,Atlanta Falcons,23,17,281,164,117,,389,242,147,3,
5,Sun,8-Oct,L,,2-Mar,@,Cincinnati Bengals,16,20,221,139,82,1,388,323,65,3,
6,,,,,,,Bye Week,,,,,,,,,,,
7,Sun,22-Oct,W,,2-Apr,,Tampa Bay Buccaneers,30,27,434,261,173,1,447,378,69,3,
8,Sun,29-Oct,W,,2-May,,Oakland Raiders,34,14,331,165,166,,367,313,54,4,
9,Thu,2-Nov,L,,3-May,@,New York Jets,21,34,307,244,63,3,331,137,194,,
10,Sun,12-Nov,L,,4-May,,New Orleans Saints,10,47,198,129,69,1,482,184,298,1,
11,Sun,19-Nov,L,,5-May,@,Los Angeles Chargers,24,54,393,220,173,6,429,283,146,,
12,Sun,26-Nov,W,,5-Jun,@,Kansas City Chiefs,16,10,268,164,104,,236,181,55,1,
13,Sun,3-Dec,L,,6-Jun,,New England Patriots,3,23,268,85,183,1,435,244,191,1,
14,Sun,10-Dec,W,OT,6-Jul,,Indianapolis Colts,13,7,319,92,227,2,227,64,163,,
15,Sun,17-Dec,W,,6-Aug,,Miami Dolphins,24,16,328,212,116,,349,249,100,3,
16,Sun,24-Dec,L,,7-Aug,@,New England Patriots,16,37,326,242,84,,411,218,193,1,
17,Sun,31-Dec,W,,7-Sep,@,Miami Dolphins,22,16,312,186,126,,356,263,93,1,
18,Sun,7-Jan,L,,8-Sep,@,Jacksonville Jaguars,3,10,263,133,130,2,230,75,155,,
