Week,Day,Date,Results,Entering Wins,Rec,Home,Opp,PF,PA,OTotYd,OPassY,ORushY,TO_lost,DTotYd,DPassY,DRushY,TO_won,week_after_bye
1,Sun,7-Sep,W,,Jan-00,,Indianapolis Colts,31,24,361,259,102,,408,354,54,2,
2,Sun,14-Sep,W,,Feb-00,,Kansas City Chiefs,24,17,325,237,88,,380,247,133,,
3,Sun,21-Sep,L,OT,1-Feb,@,Seattle Seahawks,20,26,332,296,36,2,384,255,129,1,
4,,,,,,,Bye Week,,,,,,,,,,,
5,Sun,5-Oct,W,,1-Mar,,Arizona Cardinals,41,20,568,476,92,2,215,178,37,,
6,Sun,12-Oct,W,,1-Apr,@,New York Jets,31,17,359,221,138,,204,173,31,2,
7,Sun,19-Oct,W,,1-May,,San Francisco 49ers,42,17,419,304,115,,310,248,62,1,
8,Thu,23-Oct,W,,1-Jun,,San Diego Chargers,35,21,425,286,139,,306,245,61,2,
9,Sun,2-Nov,L,,2-Jun,@,New England Patriots,21,43,472,429,43,2,398,332,66,1,
10,Sun,9-Nov,W,,2-Jul,@,Oakland Raiders,41,17,471,353,118,2,222,192,30,3,
11,Sun,16-Nov,L,,3-Jul,@,St. Louis Rams,7,22,397,369,28,2,337,206,131,,
12,Sun,23-Nov,W,,3-Aug,,Miami Dolphins,39,36,450,249,201,1,313,216,97,1,
13,Sun,30-Nov,W,,3-Sep,@,Kansas City Chiefs,29,16,388,174,214,1,151,110,41,3,
14,Sun,7-Dec,W,,3-Oct,,Buffalo Bills,24,17,306,173,133,3,415,341,74,3,
15,Sun,14-Dec,W,,3-Nov,@,San Diego Chargers,22,10,337,226,111,,288,232,56,2,
16,Mon,22-Dec,L,,4-Nov,@,Cincinnati Bengals,28,37,385,300,85,4,353,146,207,2,
17,Sun,28-Dec,W,,4-Dec,,Oakland Raiders,47,14,451,309,142,1,199,132,67,2,
18,Sun,11-Jan,L,,5-Dec,,Indianapolis Colts,13,24,288,200,88,1,364,265,99,2,
