Week,Day,Date,Results,Entering Wins,Rec,Home,Opp,PF,PA,OTotYd,OPassY,ORushY,TO_lost,DTotYd,DPassY,DRushY,TO_won,week_after_bye
1,Sun,8-Sep,L,,0-1,,Tennessee Titans,13,43,346,244,102,3,339,216,123,,
2,Mon,16-Sep,W,,1-Jan,@,New York Jets,23,3,375,305,70,1,262,169,93,1,
3,Sun,22-Sep,L,,2-Jan,,Los Angeles Rams,13,20,270,175,95,1,344,254,90,3,
4,Sun,29-Sep,W,,2-Feb,@,Baltimore Ravens,40,25,530,337,193,1,395,222,173,3,
5,Mon,7-Oct,L,,3-Feb,@,San Francisco 49ers,3,31,180,78,102,4,446,171,275,,
6,Sun,13-Oct,L,,4-Feb,,Seattle Seahawks,28,32,406,249,157,4,454,284,170,1,
7,,,,,,,Bye Week,,,,,,,,,,,
8,Sun,27-Oct,L,,5-Feb,@,New England Patriots,13,27,310,151,159,3,318,239,79,,
9,Sun,3-Nov,L,,6-Feb,@,Denver Broncos,19,24,351,261,90,,302,175,127,1,
10,Sun,10-Nov,W,,6-Mar,,Buffalo Bills,19,16,368,221,147,,344,260,84,,
11,Thu,14-Nov,W,,6-Apr,,Pittsburgh Steelers,21,7,293,189,104,,236,178,58,4,
12,Sun,24-Nov,W,,6-May,,Miami Dolphins,41,24,467,320,147,1,284,192,92,2,
13,Sun,1-Dec,L,,7-May,@,Pittsburgh Steelers,13,20,279,173,106,2,323,199,124,1,
14,Sun,8-Dec,W,,7-Jun,,Cincinnati Bengals,27,19,333,187,146,2,451,272,179,1,
15,Sun,15-Dec,L,,8-Jun,@,Arizona Cardinals,24,38,393,241,152,2,445,219,226,1,
16,Sun,22-Dec,L,,9-Jun,,Baltimore Ravens,15,31,241,184,57,1,481,238,243,1,
17,Sun,29-Dec,L,,10-Jun,@,Cincinnati Bengals,23,33,313,239,74,3,361,182,179,1,
