Week,Day,Date,Results,Entering Wins,Rec,Home,Opp,PF,PA,OTotYd,OPassY,ORushY,TO_lost,DTotYd,DPassY,DRushY,TO_won,week_after_bye
1,Sun,9-Sep,W,,Jan-00,@,New Orleans Saints,48,40,529,417,112,,475,432,43,2,
2,Sun,16-Sep,W,,Feb-00,,Philadelphia Eagles,27,21,436,393,43,2,412,321,91,2,
3,Mon,24-Sep,L,,1-Feb,,Pittsburgh Steelers,27,30,455,392,63,4,413,335,78,1,
4,Sun,30-Sep,L,,2-Feb,@,Chicago Bears,10,48,311,251,60,3,483,344,139,,
5,,,,,,,Bye Week,,,,,,,,,,,
6,Sun,14-Oct,L,,3-Feb,@,Atlanta Falcons,29,34,510,389,121,2,417,347,70,,
7,Sun,21-Oct,W,OT,3-Mar,,Cleveland Browns,26,23,456,342,114,4,305,186,119,1,
8,Sun,28-Oct,L,,4-Mar,@,Cincinnati Bengals,34,37,576,450,126,4,402,264,138,,
9,Sun,4-Nov,L,,5-Mar,@,Carolina Panthers,28,42,301,219,82,2,407,228,179,,
10,Sun,11-Nov,L,,6-Mar,,Washington Redskins,3,16,501,398,103,4,286,170,116,,
11,Sun,18-Nov,L,,7-Mar,@,New York Giants,35,38,510,359,151,4,359,196,163,,
12,Sun,25-Nov,W,,7-Apr,,San Francisco 49ers,27,9,412,304,108,,342,194,148,2,
13,Sun,2-Dec,W,,7-May,,Carolina Panthers,24,17,315,220,95,1,444,276,168,4,
14,Sun,9-Dec,L,,8-May,,New Orleans Saints,14,28,279,174,105,1,298,198,100,2,
15,Sun,16-Dec,L,,9-May,@,Baltimore Ravens,12,20,241,156,85,1,370,128,242,2,
16,Sun,23-Dec,L,,10-May,@,Dallas Cowboys,20,27,383,320,63,2,232,152,80,,
17,Sun,30-Dec,L,,11-May,,Atlanta Falcons,32,34,433,341,92,1,489,380,109,1,
