Week,Day,Date,Results,Entering Wins,Rec,Home,Opp,PF,PA,OTotYd,OPassY,ORushY,TO_lost,DTotYd,DPassY,DRushY,TO_won,week_after_bye
1,Sun,9-Sep,W,,Jan-00,,Seattle Seahawks,20,16,253,210,43,2,254,139,115,2,
2,Sun,16-Sep,W,,Feb-00,@,New England Patriots,20,18,242,140,102,2,387,297,90,1,
3,Sun,23-Sep,W,,Mar-00,,Philadelphia Eagles,27,6,292,193,99,,307,194,113,3,
4,Sun,30-Sep,W,OT,Apr-00,,Miami Dolphins,24,21,297,269,28,2,480,394,86,4,
5,Thu,4-Oct,L,,1-Apr,@,St. Louis Rams,3,17,282,237,45,1,242,131,111,1,
6,Sun,14-Oct,L,OT,2-Apr,,Buffalo Bills,16,19,332,150,182,2,306,141,165,2,
7,Sun,21-Oct,L,,3-Apr,@,Minnesota Vikings,14,21,356,230,126,2,209,43,166,2,
8,Mon,29-Oct,L,,4-Apr,,San Francisco 49ers,3,24,265,258,7,1,317,204,113,,
9,Sun,4-Nov,L,,5-Apr,@,Green Bay Packers,17,31,340,286,54,2,384,208,176,1,
10,,,,,,,Bye Week,,,,,,,,,,,
11,Sun,18-Nov,L,,6-Apr,@,Atlanta Falcons,19,23,178,41,137,1,354,296,58,6,
12,Sun,25-Nov,L,,7-Apr,,St. Louis Rams,17,31,375,301,74,4,367,194,173,1,
13,Sun,2-Dec,L,,8-Apr,@,New York Jets,6,7,137,56,81,1,289,112,177,4,
14,Sun,9-Dec,L,,9-Apr,@,Seattle Seahawks,0,58,154,111,43,8,493,209,284,1,
15,Sun,16-Dec,W,,9-May,,Detroit Lions,38,10,196,97,99,1,312,228,84,4,
16,Sun,23-Dec,L,,10-May,,Chicago Bears,13,28,248,219,29,3,297,145,152,1,
17,Sun,30-Dec,L,,11-May,@,San Francisco 49ers,13,27,262,207,55,2,407,278,129,,
