Week,Day,Date,,OT,Rec,,Opp,Tm,Opp,TotYd,PassY,RushY,TO,TotYd,PassY,RushY,TO
1,Sun,9-Sep,L,,0-1,,Washington Redskins,6,24,213,145,68,2,429,247,182,1
2,Sun,16-Sep,L,,0-2,@,Los Angeles Rams,0,34,137,83,54,1,432,342,90,1
3,Sun,23-Sep,L,,0-3,,Chicago Bears,14,16,221,168,53,4,316,194,122,2
4,Sun,30-Sep,L,,0-4,,Seattle Seahawks,17,20,263,171,92,1,331,160,171,
5,Sun,7-Oct,W,,4-Jan,@,San Francisco 49ers,28,18,220,164,56,,447,300,147,5
6,Sun,14-Oct,L,,5-Jan,@,Minnesota Vikings,17,27,268,208,60,2,411,216,195,2
7,Thu,18-Oct,L,,6-Jan,,Denver Broncos,10,45,223,154,69,5,309,178,131,1
8,Sun,28-Oct,W,,6-Feb,,San Francisco 49ers,18,15,321,233,88,2,267,160,107,
9,,,,,,,Bye Week,,,,,,,,,,
10,Sun,11-Nov,L,,7-Feb,@,Kansas City Chiefs,14,26,260,166,94,2,330,212,118,
11,Sun,18-Nov,L,,8-Feb,,Oakland Raiders,21,23,282,128,154,2,325,173,152,
12,Sun,25-Nov,L,,9-Feb,@,Los Angeles Chargers,10,45,149,87,62,1,414,236,178,1
13,Sun,2-Dec,W,,9-Mar,@,Green Bay Packers,20,17,315,133,182,,325,227,98,
14,Sun,9-Dec,L,,10-Mar,,Detroit Lions,3,17,279,218,61,1,218,96,122,1
15,Sun,16-Dec,L,,11-Mar,@,Atlanta Falcons,14,40,253,193,60,3,435,220,215,
16,Sun,23-Dec,L,,12-Mar,,Los Angeles Rams,9,31,263,159,104,,461,192,269,1
17,Sun,30-Dec,L,,13-Mar,@,Seattle Seahawks,24,27,198,113,85,2,291,109,182,1
