Week,Day,Date,Results,Entering Wins,Rec,Home,Opp,PF,PA,OTotYd,OPassY,ORushY,TO_lost,DTotYd,DPassY,DRushY,TO_won,week_after_bye
1,Mon,10-Sep,W,,Jan-00,@,Oakland Raiders,22,14,258,226,32,,321,276,45,1,
2,Sun,16-Sep,W,,Feb-00,,Tennessee Titans,38,10,416,268,148,1,212,174,38,1,
3,Sun,23-Sep,L,,1-Feb,,Atlanta Falcons,3,27,280,164,116,4,384,265,119,1,
4,Sun,30-Sep,W,,1-Mar,@,Kansas City Chiefs,37,20,293,189,104,1,349,234,115,6,
5,Sun,7-Oct,L,,2-Mar,@,New Orleans Saints,24,31,427,310,117,2,404,351,53,1,
6,Mon,15-Oct,L,,3-Mar,,Denver Broncos,24,35,307,217,90,6,365,309,56,3,
7,,,,,,,Bye Week,,,,,,,,,,,
8,Sun,28-Oct,L,,4-Mar,@,Cleveland Browns,6,7,265,148,117,1,250,117,133,,
9,Thu,1-Nov,W,,4-Apr,,Kansas City Chiefs,31,13,339,216,123,2,289,176,113,4,
10,Sun,11-Nov,L,,5-Apr,@,Tampa Bay Buccaneers,24,34,426,323,103,2,279,205,74,,
11,Sun,18-Nov,L,,6-Apr,@,Denver Broncos,23,30,277,224,53,3,386,253,133,2,
12,Sun,25-Nov,L,OT,7-Apr,,Baltimore Ravens,13,16,280,189,91,,443,316,127,,
13,Sun,2-Dec,L,,8-Apr,,Cincinnati Bengals,13,20,297,251,46,2,339,211,128,3,
14,Sun,9-Dec,W,,8-May,@,Pittsburgh Steelers,34,24,294,200,94,,340,271,69,2,
15,Sun,16-Dec,L,,9-May,,Carolina Panthers,7,31,164,94,70,2,372,217,155,1,
16,Sun,23-Dec,W,,9-Jun,@,New York Jets,27,17,223,136,87,,225,156,69,2,
17,Sun,30-Dec,W,,9-Jul,,Oakland Raiders,24,21,210,140,70,,265,150,115,1,
