Week,Day,Date,Results,Entering Wins,Rec,Home,Opp,PF,PA,OTotYd,OPassY,ORushY,TO_lost,DTotYd,DPassY,DRushY,TO_won,week_after_bye
1,Sun,11-Sep,W,OT,Jan-00,,San Diego Chargers,33,27,413,330,83,1,388,233,155,,
2,Sun,18-Sep,L,,1-Jan,@,Houston Texans,12,19,291,172,119,3,351,254,97,2,
3,Sun,25-Sep,W,,1-Feb,,New York Jets,24,3,293,221,72,1,305,188,117,8,
4,Sun,2-Oct,L,,2-Feb,@,Pittsburgh Steelers,14,43,357,270,87,2,436,287,149,,
5,,,,,,,Bye Week,,,,,,,,,,,
6,Sun,16-Oct,W,,2-Mar,@,Oakland Raiders,26,10,406,223,183,,285,221,64,2,
7,Sun,23-Oct,W,,2-Apr,,New Orleans Saints,27,21,326,214,112,,463,359,104,2,
8,Sun,30-Oct,W,,2-May,@,Indianapolis Colts,30,14,422,334,88,,277,172,105,2,
9,Sun,6-Nov,W,,2-Jun,,Jacksonville Jaguars,19,14,231,169,62,,449,244,205,4,
10,Sun,13-Nov,W,,2-Jul,@,Carolina Panthers,20,17,256,165,91,1,341,242,99,2,
11,Sun,20-Nov,L,,3-Jul,,Tampa Bay Buccaneers,17,19,343,261,82,2,442,326,116,1,
12,Sun,27-Nov,W,OT,3-Aug,@,Denver Broncos,30,27,273,190,83,,464,340,124,1,
13,Sun,4-Dec,W,,3-Sep,@,Atlanta Falcons,29,28,389,266,123,1,418,290,128,1,
14,Thu,8-Dec,W,,3-Oct,,Oakland Raiders,21,13,323,258,65,3,244,109,135,,
15,Sun,18-Dec,L,,4-Oct,,Tennessee Titans,17,19,316,159,157,1,389,241,148,3,
16,Sun,25-Dec,W,,4-Nov,,Denver Broncos,33,10,484,246,238,1,246,183,63,3,
17,Sun,1-Jan,W,,4-Dec,@,San Diego Chargers,37,27,365,262,103,1,398,269,129,2,
18,Sun,15-Jan,L,,5-Dec,,Pittsburgh Steelers,16,18,227,166,61,2,389,218,171,1,
