Week,Day,Date,Results,Entering Wins,Rec,Home,Opp,PF,PA,OTotYd,OPassY,ORushY,TO_lost,DTotYd,DPassY,DRushY,TO_won,week_after_bye
1,Sun,9-Sep,L,,0-1,@,Chicago Bears,21,41,356,293,63,5,428,314,114,1,
2,Sun,16-Sep,W,,1-Jan,,Minnesota Vikings,23,20,278,194,84,,327,232,95,1,
3,Sun,23-Sep,L,,2-Jan,,Jacksonville Jaguars,17,22,437,313,124,1,333,148,185,,
4,,,,,,,Bye Week,,,,,,,,,,,
5,Sun,7-Oct,W,,2-Feb,,Green Bay Packers,30,27,464,345,119,1,356,207,149,1,
6,Sun,14-Oct,L,,3-Feb,@,New York Jets,9,35,298,257,41,4,351,99,252,,
7,Sun,21-Oct,W,,3-Mar,,Cleveland Browns,17,13,321,173,148,1,319,264,55,,
8,Sun,28-Oct,W,OT,3-Apr,@,Tennessee Titans,19,13,457,286,171,1,339,227,112,,
9,Sun,4-Nov,W,,3-May,,Miami Dolphins,23,20,516,419,97,,365,281,84,,
10,Thu,8-Nov,W,,3-Jun,@,Jacksonville Jaguars,27,10,359,221,138,2,337,300,37,3,
11,Sun,18-Nov,L,,4-Jun,@,New England Patriots,24,59,448,329,119,4,446,331,115,,
12,Sun,25-Nov,W,,4-Jul,,Buffalo Bills,20,13,312,225,87,2,304,169,135,1,
13,Sun,2-Dec,W,,4-Aug,@,Detroit Lions,35,33,459,372,87,3,451,313,138,1,
14,Sun,9-Dec,W,,4-Sep,,Tennessee Titans,27,23,269,171,98,2,356,259,97,2,
15,Sun,16-Dec,L,,5-Sep,@,Houston Texans,17,29,272,148,124,1,417,239,178,,
16,Sun,23-Dec,W,,5-Oct,@,Kansas City Chiefs,20,13,288,198,90,,507,155,352,3,
17,Sun,30-Dec,W,,5-Nov,,Houston Texans,28,16,265,184,81,,352,250,102,2,
18,Sun,6-Jan,L,,6-Nov,@,Baltimore Ravens,9,24,419,267,152,2,439,269,170,2,
