Week,Day,Date,Results,Entering Wins,Rec,Home,Opp,PF,PA,OTotYd,OPassY,ORushY,TO_lost,DTotYd,DPassY,DRushY,TO_won,week_after_bye
1,Sun,11-Sep,L,,0-1,,New York Giants,19,20,328,227,101,,316,203,113,1,
2,Sun,18-Sep,W,,1-Jan,@,Washington Redskins,27,23,380,278,102,1,432,350,82,1,
3,Sun,25-Sep,W,,1-Feb,,Chicago Bears,31,17,447,248,199,1,390,312,78,2,
4,Sun,2-Oct,W,,1-Mar,@,San Francisco 49ers,24,17,428,234,194,,295,189,106,1,
5,Sun,9-Oct,W,,1-Apr,,Cincinnati Bengals,28,14,402,222,180,1,345,249,96,,
6,Sun,16-Oct,W,,1-May,@,Green Bay Packers,30,16,424,233,191,2,372,294,78,4,
7,,,,,,,Bye Week,,,,,,,,,,,
8,Sun,30-Oct,W,OT,1-Jun,,Philadelphia Eagles,29,23,460,273,187,1,291,194,97,1,
9,Sun,6-Nov,W,,1-Jul,@,Cleveland Browns,35,10,423,255,168,,222,177,45,,
10,Sun,13-Nov,W,,1-Aug,@,Pittsburgh Steelers,35,30,422,295,127,1,448,400,48,,
11,Sun,20-Nov,W,,1-Sep,,Baltimore Ravens,27,17,417,299,118,,368,267,101,,
12,Thu,24-Nov,W,,1-Oct,,Washington Redskins,31,26,353,190,163,,505,449,56,,
13,Thu,1-Dec,W,,1-Nov,@,Minnesota Vikings,17,15,264,124,140,2,318,231,87,1,
14,Sun,11-Dec,L,,2-Nov,@,New York Giants,7,10,260,152,108,3,260,167,93,3,
15,Sun,18-Dec,W,,2-Dec,,Tampa Bay Buccaneers,26,20,449,264,185,1,276,224,52,4,
16,Mon,26-Dec,W,,13-2,,Detroit Lions,42,21,375,211,164,,319,229,90,2,
17,Sun,1-Jan,L,,13-3,@,Philadelphia Eagles,13,27,195,126,69,2,346,232,114,,
18,Sun,15-Jan,L,,13-4,,Green Bay Packers,31,34,429,291,138,1,413,326,87,1,
