Week,Day,Date,Results,Entering Wins,Rec,Home,Opp,PF,PA,OTotYd,OPassY,ORushY,TO_lost,DTotYd,DPassY,DRushY,TO_won,week_after_bye
1,Sun,9-Sep,L,,0-1,@,Houston Texans,10,30,275,199,76,4,337,254,83,,
2,Sun,16-Sep,W,,1-Jan,,Oakland Raiders,35,13,452,189,263,,396,373,23,1,
3,Sun,23-Sep,L,OT,2-Jan,,New York Jets,20,23,381,196,185,2,388,295,93,2,
4,Sun,30-Sep,L,OT,3-Jan,@,Arizona Cardinals,21,24,480,394,86,4,297,269,28,2,
5,Sun,7-Oct,W,,3-Feb,@,Cincinnati Bengals,17,13,279,211,68,2,298,218,80,3,
6,Sun,14-Oct,W,,3-Mar,,St. Louis Rams,17,14,192,156,36,,462,300,162,1,
7,,,,,,,Bye Week,,,,,,,,,,,
8,Sun,28-Oct,W,,3-Apr,@,New York Jets,30,9,236,139,97,1,363,258,105,2,
9,Sun,4-Nov,L,,4-Apr,@,Indianapolis Colts,20,23,365,281,84,,516,419,97,,
10,Sun,11-Nov,L,,5-Apr,,Tennessee Titans,3,37,255,201,54,4,293,116,177,,
11,Thu,15-Nov,L,,6-Apr,@,Buffalo Bills,14,19,184,124,60,3,281,161,120,,
12,Sun,25-Nov,W,,6-May,,Seattle Seahawks,24,21,435,246,189,1,312,216,96,,
13,Sun,2-Dec,L,,7-May,,New England Patriots,16,23,277,176,101,1,321,213,108,1,
14,Sun,9-Dec,L,,8-May,@,San Francisco 49ers,13,27,227,133,94,1,321,166,155,,
15,Sun,16-Dec,W,,8-Jun,,Jacksonville Jaguars,24,3,389,209,180,1,299,213,86,,
16,Sun,23-Dec,W,,8-Jul,,Buffalo Bills,24,10,301,119,182,,381,227,154,4,
17,Sun,30-Dec,L,,9-Jul,@,New England Patriots,0,28,256,209,47,2,443,276,167,,
