Week,Day,Date,Results,Entering Wins,Rec,Home,Opp,PF,PA,OTotYd,OPassY,ORushY,TO_lost,DTotYd,DPassY,DRushY,TO_won,week_after_bye
1,Sun,9-Sep,W,,Jan-00,@,Cleveland Browns,17,16,456,306,150,5,210,111,99,4,
2,Sun,16-Sep,W,,Feb-00,,Baltimore Ravens,24,23,486,357,129,4,325,214,111,2,
3,Sun,23-Sep,L,,1-Feb,@,Arizona Cardinals,6,27,307,194,113,3,292,193,99,,
4,Sun,30-Sep,W,,1-Mar,,New York Giants,19,17,422,231,191,,366,309,57,1,
5,Sun,7-Oct,L,,2-Mar,@,Pittsburgh Steelers,14,16,246,168,78,2,343,220,123,,
6,Sun,14-Oct,L,OT,3-Mar,,Detroit Lions,23,26,357,286,71,3,449,311,138,1,
7,,,,,,,Bye Week,,,,,,,,,,,
8,Sun,28-Oct,L,,4-Mar,,Atlanta Falcons,17,30,270,178,92,,392,246,146,,
9,Mon,5-Nov,L,,5-Mar,@,New Orleans Saints,13,28,447,226,221,2,371,231,140,2,
10,Sun,11-Nov,L,,6-Mar,,Dallas Cowboys,23,38,369,278,91,2,294,193,101,,
11,Sun,18-Nov,L,,7-Mar,@,Washington Redskins,6,31,257,177,80,3,361,192,169,,
12,Mon,26-Nov,L,,8-Mar,,Carolina Panthers,22,30,311,107,204,3,398,289,109,,
13,Sun,2-Dec,L,,9-Mar,@,Dallas Cowboys,33,38,423,240,183,1,417,294,123,,
14,Sun,9-Dec,W,,9-Apr,@,Tampa Bay Buccaneers,23,21,367,338,29,1,314,178,136,,
15,Thu,13-Dec,L,,10-Apr,,Cincinnati Bengals,13,34,219,177,42,5,249,92,157,2,
16,Sun,23-Dec,L,,11-Apr,,Washington Redskins,20,27,411,321,90,2,313,185,128,1,
17,Sun,30-Dec,L,,12-Apr,@,New York Giants,7,42,317,207,110,1,397,212,185,,
