Week,Day,Date,Results,Entering Wins,Rec,Home,Opp,PF,PA,OTotYd,OPassY,ORushY,TO_lost,DTotYd,DPassY,DRushY,TO_won,week_after_bye
1,Mon,14-Sep,W,,Jan-00,,Philadelphia Eagles,26,24,395,290,105,2,399,336,63,2,
2,Sun,20-Sep,W,,Feb-00,@,New York Giants,24,20,402,346,56,,388,291,97,1,
3,Sun,27-Sep,W,,Mar-00,@,Dallas Cowboys,39,28,438,280,158,,347,220,127,1,
4,Sun,4-Oct,W,,Apr-00,,Houston Texans,48,21,378,243,135,,428,374,54,4,
5,Sun,11-Oct,W,OT,May-00,,Washington Redskins,25,19,418,242,176,3,270,219,51,2,
6,Thu,15-Oct,L,,1-May,@,New Orleans Saints,21,31,413,263,150,3,385,304,81,,
7,Sun,25-Oct,W,,1-Jun,@,Tennessee Titans,10,7,378,251,127,2,256,179,77,2,
8,Sun,1-Nov,L,OT,2-Jun,,Tampa Bay Buccaneers,20,23,496,395,101,4,290,173,117,,
9,Sun,8-Nov,L,,3-Jun,@,San Francisco 49ers,16,17,302,285,17,,318,185,133,2,
10,,,,,,,Bye Week,,,,,,,,,,,
11,Sun,22-Nov,L,,4-Jun,,Indianapolis Colts,21,24,375,275,100,4,276,202,74,3,
12,Sun,29-Nov,L,,5-Jun,,Minnesota Vikings,10,20,326,210,116,3,365,174,191,1,
13,Sun,6-Dec,L,,6-Jun,@,Tampa Bay Buccaneers,19,23,319,255,64,1,388,222,166,2,
14,Sun,13-Dec,L,,7-Jun,@,Carolina Panthers,0,38,230,176,54,4,424,282,142,,
15,Sun,20-Dec,W,,7-Jul,@,Jacksonville Jaguars,23,17,328,245,83,1,370,285,85,1,
16,Sun,27-Dec,W,,7-Aug,,Carolina Panthers,20,13,373,296,77,1,268,113,155,1,
17,Sun,3-Jan,L,,8-Aug,,New Orleans Saints,17,20,414,327,87,2,390,323,67,1,
