Week,Day,Date,Results,Entering Wins,Rec,Home,Opp,PF,PA,OTotYd,OPassY,ORushY,TO_lost,DTotYd,DPassY,DRushY,TO_won,week_after_bye
1,Sun,13-Sep,L,,0-1,@,Dallas Cowboys,26,27,285,186,99,,436,356,80,3,
2,Sun,20-Sep,L,,0-2,,Atlanta Falcons,20,24,388,291,97,1,402,346,56,,
3,Thu,24-Sep,W,,2-Jan,,Washington Redskins,32,21,363,279,84,,393,305,88,3,
4,Sun,4-Oct,W,,2-Feb,@,Buffalo Bills,24,10,303,211,92,1,313,258,55,2,
5,Sun,11-Oct,W,,2-Mar,,San Francisco 49ers,30,27,525,441,84,1,380,256,124,,
6,Mon,19-Oct,L,,3-Mar,@,Philadelphia Eagles,7,27,247,166,81,3,428,270,158,4,
7,Sun,25-Oct,W,,3-Apr,,Dallas Cowboys,27,20,289,157,132,,460,227,233,4,
8,Sun,1-Nov,L,,4-Apr,@,New Orleans Saints,49,52,416,329,87,1,608,505,103,2,
9,Sun,8-Nov,W,,4-May,@,Tampa Bay Buccaneers,32,18,327,213,114,2,383,247,136,3,
10,Sun,15-Nov,L,,5-May,,New England Patriots,26,27,422,342,80,1,406,329,77,2,
11,,,,,,,Bye Week,,,,,,,,,,,
12,Sun,29-Nov,L,,6-May,@,Washington Redskins,14,20,332,299,33,3,407,302,105,,
13,Sun,6-Dec,L,OT,7-May,,New York Jets,20,23,355,281,74,1,463,373,90,1,
14,Mon,14-Dec,W,,7-Jun,@,Miami Dolphins,31,24,429,337,92,1,363,235,128,1,
15,Sun,20-Dec,L,,8-Jun,,Carolina Panthers,35,38,406,245,161,2,480,309,171,1,
16,Sun,27-Dec,L,,9-Jun,@,Minnesota Vikings,17,49,363,272,91,3,368,150,218,,
17,Sun,3-Jan,L,,10-Jun,,Philadelphia Eagles,30,35,502,294,208,1,435,315,120,2,
