Week,Day,Date,Results,Entering Wins,Rec,Home,Opp,PF,PA,OTotYd,OPassY,ORushY,TO_lost,DTotYd,DPassY,DRushY,TO_won,week_after_bye
1,Sun,9-Sep,W,,Jan-00,@,New York Giants,20,15,305,168,137,1,324,210,114,2,
2,Sun,16-Sep,W,,Feb-00,,New England Patriots,31,20,480,376,104,2,302,220,82,1,
3,Sun,23-Sep,L,,1-Feb,,Tennessee Titans,6,9,232,145,87,1,233,83,150,,
4,Sun,30-Sep,W,,1-Mar,,New York Jets,31,12,503,377,126,3,178,144,34,,
5,Sun,7-Oct,L,,2-Mar,@,Kansas City Chiefs,14,30,502,401,101,5,424,298,126,2,
6,Sun,14-Oct,L,,3-Mar,@,Dallas Cowboys,7,40,204,139,65,2,378,172,206,,
7,Sun,21-Oct,L,,4-Mar,,Houston Texans,7,20,259,189,70,3,272,131,141,,
8,Sun,28-Oct,L,,5-Mar,,Philadelphia Eagles,18,24,335,265,70,1,395,262,133,2,
9,,,,,,,Bye Week,,,,,,,,,,,
10,Sun,11-Nov,L,,6-Mar,@,Indianapolis Colts,26,29,415,324,91,1,366,285,81,1,
11,Sun,18-Nov,L,,7-Mar,,Pittsburgh Steelers,16,20,243,64,179,1,323,297,26,3,
12,Sun,25-Nov,L,,8-Mar,@,Buffalo Bills,21,24,333,107,226,2,327,160,167,,
13,Sun,2-Dec,W,,8-Apr,,Indianapolis Colts,6,0,211,132,79,1,265,224,41,2,
14,Thu,6-Dec,L,,9-Apr,@,Tennessee Titans,9,30,255,195,60,1,426,162,264,1,
15,Sun,16-Dec,L,,10-Apr,,Washington Redskins,13,16,192,20,172,2,245,136,109,,
16,Sun,23-Dec,W,,10-May,@,Miami Dolphins,17,7,244,118,126,1,183,121,62,2,
17,Sun,30-Dec,L,,11-May,@,Houston Texans,3,20,119,89,30,2,342,208,134,1,
