Week,Day,Date,Results,Entering Wins,Rec,Home,Opp,PF,PA,OTotYd,OPassY,ORushY,TO_lost,DTotYd,DPassY,DRushY,TO_won,week_after_bye
1,Mon,13-Sep,L,,0-1,,Baltimore Ravens,9,10,176,60,116,1,282,233,49,3,
2,Sun,19-Sep,W,,1-Jan,,New England Patriots,28,14,336,200,136,,291,239,52,3,
3,Sun,26-Sep,W,,1-Feb,@,Miami Dolphins,31,23,402,256,146,,436,352,84,1,
4,Sun,3-Oct,W,,1-Mar,@,Buffalo Bills,38,14,444,171,273,,223,109,114,2,
5,Mon,11-Oct,W,,1-Apr,,Minnesota Vikings,29,20,328,173,155,,336,240,96,3,
6,Sun,17-Oct,W,,1-May,@,Denver Broncos,24,20,319,190,129,3,346,201,145,2,
7,,,,,,,Bye Week,,,,,,,,,,,
8,Sun,31-Oct,L,,2-May,,Green Bay Packers,0,9,360,241,119,3,237,156,81,,
9,Sun,7-Nov,W,OT,2-Jun,@,Detroit Lions,23,20,437,327,110,2,306,228,78,,
10,Sun,14-Nov,W,OT,2-Jul,@,Cleveland Browns,26,20,456,284,172,1,303,196,107,2,
11,Sun,21-Nov,W,,2-Aug,,Houston Texans,30,27,401,298,103,2,343,246,97,1,
12,Thu,25-Nov,W,,2-Sep,,Cincinnati Bengals,26,10,319,149,170,1,163,117,46,3,
13,Mon,6-Dec,L,,3-Sep,@,New England Patriots,3,45,301,149,152,3,405,304,101,,
14,Sun,12-Dec,L,,4-Sep,,Miami Dolphins,6,10,280,193,87,2,131,30,101,3,
15,Sun,19-Dec,W,,4-Oct,@,Pittsburgh Steelers,22,17,276,170,106,,378,232,146,,
16,Sun,26-Dec,L,,5-Oct,@,Chicago Bears,34,38,393,269,124,2,322,202,120,1,
17,Sun,2-Jan,W,,5-Nov,,Buffalo Bills,38,7,388,112,276,1,162,125,37,6,
18,Sat,8-Jan,W,,5-Dec,@,Indianapolis Colts,17,16,353,184,169,1,312,219,93,,
19,Sun,16-Jan,W,,13-5,@,New England Patriots,28,21,314,194,120,,372,259,113,1,
20,Sun,23-Jan,L,,13-6,@,Pittsburgh Steelers,19,24,289,219,70,1,287,121,166,2,
