Week,Day,Date,Results,Entering Wins,Rec,Home,Opp,PF,PA,OTotYd,OPassY,ORushY,TO_lost,DTotYd,DPassY,DRushY,TO_won,week_after_bye
1,Sun,8-Sep,T,OT,0-0-1,@,Arizona Cardinals,27,27,477,361,116,2,387,275,112,1,
2,Sun,15-Sep,W,,1-0-1,,Los Angeles Chargers,13,10,339,245,94,2,424,287,137,2,
3,Sun,22-Sep,W,,2-0-1,@,Philadelphia Eagles,27,24,287,201,86,,373,246,127,2,
4,Sun,29-Sep,L,,2/1/2001,,Kansas City Chiefs,30,34,447,261,186,2,438,315,123,3,
5,,,,,,,Bye Week,,,,,,,,,,,
6,Mon,14-Oct,L,,2/2/2001,@,Green Bay Packers,22,23,299,243,56,,447,277,170,3,
7,Sun,20-Oct,L,,2/3/2001,,Minnesota Vikings,30,42,433,352,81,1,504,338,166,,
8,Sun,27-Oct,W,,3/3/2001,,New York Giants,31,26,375,316,59,2,370,290,80,1,
9,Sun,3-Nov,L,,3/4/2001,@,Oakland Raiders,24,31,473,383,90,2,450,279,171,,
10,Sun,10-Nov,L,,3/5/2001,@,Chicago Bears,13,20,357,259,98,1,226,145,81,,
11,Sun,17-Nov,L,,3/6/2001,,Dallas Cowboys,27,35,312,191,121,,509,434,75,1,
12,Sun,24-Nov,L,,3/7/2001,@,Washington Redskins,16,19,364,189,175,4,230,144,86,2,
13,Thu,28-Nov,L,,3/8/2001,,Chicago Bears,20,24,364,259,105,1,419,331,88,1,
14,Sun,8-Dec,L,,3/9/2001,@,Minnesota Vikings,7,20,231,161,70,2,354,234,120,,
15,Sun,15-Dec,L,,3/10/2001,,Tampa Bay Buccaneers,17,38,295,250,45,3,495,446,49,1,
16,Sun,22-Dec,L,,3/11/2001,@,Denver Broncos,17,27,191,95,96,,348,198,150,,
17,Sun,29-Dec,L,,3/12/2001,,Green Bay Packers,20,23,305,134,171,1,432,312,120,1,
