Week,Day,Date,Results,Entering Wins,Rec,Home,Opp,PF,PA,OTotYd,OPassY,ORushY,TO_lost,DTotYd,DPassY,DRushY,TO_won,week_after_bye
1,Sun,11-Sep,W,0,Jan-00,,Seattle Seahawks,33,17,209,124,85,,219,155,64,3,0
2,Sun,18-Sep,L,1,1-Jan,,Dallas Cowboys,24,27,206,132,74,1,472,427,45,2,0
3,Sun,25-Sep,W,1,1-Feb,@,Cincinnati Bengals,13,8,226,176,50,1,228,149,79,3,0
4,Sun,2-Oct,W,2,1-Mar,@,Philadelphia Eagles,24,23,442,278,164,1,513,405,108,3,0
5,Sun,9-Oct,W,3,1-Apr,,Tampa Bay Buccaneers,48,3,418,205,213,1,272,186,86,3,0
6,Sun,16-Oct,W,4,1-May,@,Detroit Lions,25,19,314,111,203,2,310,244,66,,0
7,,,,,,,Bye Week,,,,,,,,,,,
8,Sun,30-Oct,W,5,1-Jun,,Cleveland Browns,20,10,348,174,174,,290,224,66,2,1
9,Sun,6-Nov,W,6,1-Jul,@,Washington Redskins,19,11,326,188,138,1,303,251,52,3,0
10,Sun,13-Nov,W,7,1-Aug,,New York Giants,27,20,305,228,77,1,395,302,93,2,0
11,Sun,20-Nov,W,8,1-Sep,,Arizona Cardinals,23,7,431,267,164,1,229,149,80,5,0
12,Thu,24-Nov,L,9,2-Sep,@,Baltimore Ravens,6,16,170,96,74,1,253,161,92,,0
13,Sun,4-Dec,W,9,2-Oct,,St. Louis Rams,26,0,389,245,144,,157,126,31,2,0
14,Sun,11-Dec,L,10,3-Oct,@,Arizona Cardinals,19,21,233,143,90,,325,270,55,3,0
15,Mon,19-Dec,W,10,3-Nov,,Pittsburgh Steelers,20,3,287,187,100,,389,305,84,4,0
16,Sat,24-Dec,W,11,3-Dec,@,Seattle Seahawks,19,17,349,171,178,,265,141,124,1,0
17,Sun,1-Jan,W,12,13-3,@,St. Louis Rams,34,27,321,205,116,,311,200,111,2,0
18,Sat,14-Jan,W,13,14-3,,New Orleans Saints,36,32,407,264,143,1,472,435,37,5,0
19,Sun,22-Jan,L,14,14-4,,New York Giants,17,20,328,178,150,2,352,267,85,,0
