Week,Day,Date,Results,Entering Wins,Rec,Home,Opp,PF,PA,OTotYd,OPassY,ORushY,TO_lost,DTotYd,DPassY,DRushY,TO_won,week_after_bye
1,Sun,11-Sep,W,,Jan-00,@,Jacksonville Jaguars,27,23,294,199,95,,348,300,48,1,
2,Sun,18-Sep,L,,1-Jan,@,Minnesota Vikings,14,17,263,180,83,3,284,254,30,1,
3,Sun,25-Sep,W,,1-Feb,,Detroit Lions,34,27,324,201,123,,418,368,50,1,
4,,,,,,,Bye Week,,,,,,,,,,,
5,Sun,9-Oct,W,,1-Mar,,New York Giants,23,16,406,259,147,2,221,178,43,1,
6,Sun,16-Oct,L,,2-Mar,,Dallas Cowboys,16,30,372,294,78,4,424,233,191,2,
7,Thu,20-Oct,W,,2-Apr,,Chicago Bears,26,10,406,303,103,1,189,120,69,2,
8,Sun,30-Oct,L,,3-Apr,@,Atlanta Falcons,32,33,331,223,108,,367,277,90,,
9,Sun,6-Nov,L,,4-Apr,,Indianapolis Colts,26,31,405,289,116,1,355,270,85,2,
10,Sun,13-Nov,L,,5-Apr,@,Tennessee Titans,25,47,402,333,69,3,446,292,154,,
11,Sun,20-Nov,L,,6-Apr,@,Washington Redskins,24,42,424,340,84,2,515,364,151,,
12,Mon,28-Nov,W,,6-May,@,Philadelphia Eagles,27,13,387,313,74,,292,211,81,1,
13,Sun,4-Dec,W,,6-Jun,,Houston Texans,21,13,309,200,109,1,307,184,123,1,
14,Sun,11-Dec,W,,6-Jul,,Seattle Seahawks,38,10,330,237,93,,354,218,136,6,
15,Sun,18-Dec,W,,6-Aug,@,Chicago Bears,30,27,451,225,226,,449,354,95,4,
16,Sat,24-Dec,W,,6-Sep,,Minnesota Vikings,38,25,348,308,40,,446,353,93,2,
17,Sun,1-Jan,W,,6-Oct,@,Detroit Lions,31,24,448,295,153,,408,332,76,1,
18,Sun,8-Jan,W,,6-Nov,,New York Giants,38,13,406,331,75,,365,295,70,2,
19,Sun,15-Jan,W,,6-Dec,@,Dallas Cowboys,34,31,413,326,87,1,429,291,138,1,
20,Sun,22-Jan,L,,7-Dec,@,Atlanta Falcons,21,44,367,268,99,2,493,392,101,,
