Week,Day,Date,Results,Entering Wins,Rec,Home,Opp,PF,PA,OTotYd,OPassY,ORushY,TO_lost,DTotYd,DPassY,DRushY,TO_won,week_after_bye
1,Sun,8-Sep,L,,0-1,,Seattle Seahawks,7,12,253,119,134,2,370,300,70,1,
2,Sun,15-Sep,L,,0-2,@,Buffalo Bills,23,24,308,183,125,1,436,287,149,2,
3,Sun,22-Sep,W,,2-Jan,,New York Giants,38,0,402,208,194,2,150,90,60,3,
4,,,,,,,Bye Week,,,,,,,,,,,
5,Sun,6-Oct,L,,3-Jan,@,Arizona Cardinals,6,22,353,258,95,4,250,160,90,3,
6,Sun,13-Oct,W,,3-Feb,@,Minnesota Vikings,35,10,367,236,131,,290,215,75,2,
7,Sun,20-Oct,W,,3-Mar,,St. Louis Rams,30,15,282,180,102,,317,254,63,3,
8,Thu,24-Oct,W,,3-Apr,@,Tampa Bay Buccaneers,31,13,324,195,129,,297,249,48,1,
9,Sun,3-Nov,W,,3-May,,Atlanta Falcons,34,10,373,242,131,2,289,211,78,4,
10,Sun,10-Nov,W,,3-Jun,@,San Francisco 49ers,10,9,250,141,109,2,151,46,105,2,
11,Mon,18-Nov,W,,3-Jul,,New England Patriots,24,20,300,197,103,,390,283,107,2,
12,Sun,24-Nov,W,,3-Aug,@,Miami Dolphins,20,16,295,159,136,1,332,280,52,1,
13,Sun,1-Dec,W,,3-Sep,,Tampa Bay Buccaneers,27,6,426,263,163,2,206,140,66,2,
14,Sun,8-Dec,L,,4-Sep,@,New Orleans Saints,13,31,239,111,128,,373,304,69,,
15,Sun,15-Dec,W,,4-Oct,,New York Jets,30,20,392,261,131,,297,140,157,1,
16,Sun,22-Dec,W,,4-Nov,,New Orleans Saints,17,13,222,141,81,1,365,239,126,2,
17,Sun,29-Dec,W,,4-Dec,@,Atlanta Falcons,21,20,283,149,134,2,307,231,76,1,
18,Sun,12-Jan,L,,5-Dec,,San Francisco 49ers,10,23,325,232,93,2,315,189,126,,
