Week,Day,Date,Results,Entering Wins,Rec,Home,Opp,PF,PA,OTotYd,OPassY,ORushY,TO_lost,DTotYd,DPassY,DRushY,TO_won,week_after_bye
1,Mon,12-Sep,W,,Jan-00,@,Miami Dolphins,38,24,622,516,106,1,488,390,98,1,
2,Sun,18-Sep,W,,Feb-00,,San Diego Chargers,35,21,504,410,94,,470,372,98,4,
3,Sun,25-Sep,L,,1-Feb,@,Buffalo Bills,31,34,495,387,108,4,448,369,79,2,
4,Sun,2-Oct,W,,1-Mar,@,Oakland Raiders,31,19,409,226,183,,504,344,160,2,
5,Sun,9-Oct,W,,1-Apr,,New York Jets,30,21,446,294,152,1,255,158,97,,
6,Sun,16-Oct,W,,1-May,,Dallas Cowboys,20,16,371,270,101,4,377,300,77,2,
7,,,,,,,Bye Week,,,,,,,,,,,
8,Sun,30-Oct,L,,2-May,@,Pittsburgh Steelers,17,25,213,170,43,,427,329,98,1,
9,Sun,6-Nov,L,,3-May,,New York Giants,20,24,438,332,106,4,361,250,111,2,
10,Sun,13-Nov,W,,3-Jun,@,New York Jets,37,16,389,329,60,,378,268,110,3,
11,Mon,21-Nov,W,,3-Jul,,Kansas City Chiefs,34,3,380,223,157,1,334,209,125,3,
12,Sun,27-Nov,W,,3-Aug,@,Philadelphia Eagles,38,20,457,353,104,,466,393,73,1,
13,Sun,4-Dec,W,,3-Sep,,Indianapolis Colts,31,24,362,289,73,,437,338,99,2,
14,Sun,11-Dec,W,,3-Oct,@,Washington Redskins,34,27,431,352,79,1,463,293,170,2,
15,Sun,18-Dec,W,,3-Nov,@,Denver Broncos,41,23,451,310,141,,393,141,252,3,
16,Sat,24-Dec,W,,3-Dec,,Miami Dolphins,27,24,400,281,119,,374,253,121,2,
17,Sun,1-Jan,W,,13-3,,Buffalo Bills,49,21,480,342,138,1,402,296,106,4,
18,Sat,14-Jan,W,,14-3,,Denver Broncos,45,10,509,363,146,2,252,108,144,1,
19,Sun,22-Jan,W,,15-3,,Baltimore Ravens,23,20,330,234,96,3,398,282,116,1,
20,Sun,5-Feb,L,,15-4,N,New York Giants,17,21,349,266,83,1,396,282,114,,
