Week,Day,Date,Results,Entering Wins,Rec,Home,Opp,PF,PA,OTotYd,OPassY,ORushY,TO_lost,DTotYd,DPassY,DRushY,TO_won,week_after_bye
1,Mon,12-Sep,W,,Jan-00,@,Denver Broncos,23,20,289,99,190,1,310,272,38,3,
2,Sun,18-Sep,L,,1-Jan,@,Buffalo Bills,35,38,454,323,131,2,481,258,223,1,
3,Sun,25-Sep,W,,1-Feb,,New York Jets,34,24,383,149,234,,439,339,100,2,
4,Sun,2-Oct,L,,2-Feb,,New England Patriots,19,31,504,344,160,2,409,226,183,,
5,Sun,9-Oct,W,,2-Mar,@,Houston Texans,25,20,278,184,94,1,473,403,70,2,
6,Sun,16-Oct,W,,2-Apr,,Cleveland Browns,24,17,329,178,151,1,268,203,65,1,
7,Sun,23-Oct,L,,3-Apr,,Kansas City Chiefs,0,28,322,167,155,6,300,161,139,2,
8,,,,,,,Bye Week,,,,,,,,,,,
9,Sun,6-Nov,L,,4-Apr,,Denver Broncos,24,38,416,316,100,3,412,113,299,,
10,Thu,10-Nov,W,,4-May,@,San Diego Chargers,24,17,489,298,191,2,314,239,75,2,
11,Sun,20-Nov,W,,4-Jun,@,Minnesota Vikings,27,21,301,139,162,1,311,187,124,5,
12,Sun,27-Nov,W,,4-Jul,,Chicago Bears,25,20,341,268,73,1,401,229,172,3,
13,Sun,4-Dec,L,,5-Jul,@,Miami Dolphins,14,34,304,258,46,1,362,153,209,,
14,Sun,11-Dec,L,,6-Jul,@,Green Bay Packers,16,46,357,240,117,5,391,255,136,1,
15,Sun,18-Dec,L,,7-Jul,,Detroit Lions,27,28,477,345,132,1,432,375,57,1,
16,Sat,24-Dec,W,OT,7-Aug,@,Kansas City Chiefs,16,13,308,237,71,2,435,300,135,2,
17,Sun,1-Jan,L,,8-Aug,,San Diego Chargers,26,38,520,417,103,1,463,310,153,1,
